oid,site_id,name1,coe,ref_address,street1,street2,city,state_usa,zipcode,latitude,longitude,phone1,asm,ba,name_ba,mat_info,bu,bui,nu,vti,mu,additional_info,phone2,walk_in_hours,wih_induction,oit,op,mhs,ccc,hs,pw,male,sp,ales,f47,f92,f17,f44,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
100040,S00076,WEDGE MEDICAL CENTER*,True,"2009 S. BROAD ST, 19148",2009 South Broad St,,Philadelphia,PA,19148,39.92518999,-75.16905201,215-276-3922,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Partners with Temple TWO | IOP/OP; MH Tx on-site,,M 2-3:30p,True,True,True,True,,,,,,,,,,,False,,2020-02-28,,[_] Does Temple TWO partnership mean this site has services for pregnant women?,
100041,S00077,WEDGE MEDICAL CENTER*,True,"4243 FRANKFORD AVE, 19124",4243 Frankford Ave,,Philadelphia,PA,19124,40.00957702,-75.08885002,215-276-3922,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Partners with Temple TWO | IOP/OP; MH Tx on-site,,T 2-3:30p,True,True,True,True,,,,,,,,,,,False,,2020-02-28,,[_] Does Temple TWO partnership mean this site has services for pregnant women?,
100042,S00039,NET Access Point,,"499 North 5th Street, Suite B, Philadelphia, PA 19123",499 North 5th St,Suite B,Philadelphia,PA,19123,39.96048776,-75.14671186,844-533-8200,True,,,Buprenorphine & Vivitrol Induction,True,True,True,True,,Open 24 hours/day and 7 days/week | Website: www.netcenters.org,215-408-4987,,,,,,,,,,,,,,,,False,,2020-02-28,,,
100043,S00040,Friends Hospital,,4641 Roosevelt Blvd.,4641 Roosevelt Blvd,,Philadelphia,PA,19124,40.02570799,-75.10244002,215-831-2600,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,False,,2020-02-28,,,
100044,S00041,Einstein Medical Center,,5501 Old York Rd.,5501 Old York Rd,,Philadelphia,PA,19141,40.03739899,-75.14355996,215-951-8300,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,False,,2020-02-28,,,
100045,S00042,Pennsylvania Hospital (Hall Mercer),,245 S. 8th St.,245 South 8th St,,Philadelphia,PA,19106,39.94681899,-75.15424798,215-829-5433,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,False,,2020-02-28,,,
100046,S00043,Temple/Episcopal Hospital,,100 E. Lehigh Ave.,100 East Lehigh Ave,,Philadelphia,PA,19125,39.98999999,-75.12924501,215-707-2577,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,False,,2020-02-28,,"[_] Should buprenorphine and/or Vivitrol become True? (see Community Programs entry [page 3] for same address, different phone & name [Merakey])",
100047,S00044,Philadelphia Children’s Crisis Response Center,,"3300 Henry Ave. Falls Two Building, 3rd Floor",3300 Henry Ave,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,40.01177098,-75.18455996,215-878-2600,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,False,,2020-02-28,,,
100048,S00045,Pathways to Recovery (PHMC) Partial Hospitalization,,"2301 East Allegheny Avenue, Philadelphia, PA 19134",2301 East Allegheny Ave,,Philadelphia,PA,19134,39.98999798,-75.10601599,215-731-2404,True,,,Buprenorphine & Vivitrol Induction,True,True,True,True,,English/Spanish,,,,,,,,,,,True,,,,,,False,,2020-02-28,,,
100049,S00001,Gaudenzia,,"1306 Spring Garden, Philadelphia, PA 19123",1306 Spring Garden St,,Philadelphia,PA,19123,39.961763,-75.15979999,267-315-6907,True,True,Gaudenzia,Buprenorphine Maintenance,True,,,,,Withdrawal Management,,,,,,,,,,,,,,,,,False,,2020-03-30,,"[_] Should Vivitrol become True? (see Community Programs entry [page 3] for same address, different phone)",
100050,S00011,Mercy Hospital,,501 S. 54th St.,501 South 54th St,,Philadelphia,PA,19143,39.95241393,-75.23024877,215-831-2600,True,,,,,,,,,Crisis Response Center,,,,,,,,,,,,,,,,,True,Source removed listing,2020-02-28,2020-03-30,"No longer listed: 2020-04-03. Facility status in flux, 2020 and 2021: https://whyy.org/articles/penn-med-phmc-lead-coalition-to-save-mercy-philadelphia-hospital/",
100051,S00298,PENN MEDICINE PRESBYTERIAN MEDICAL CENTER*,True,"3910 POWELTON AVE, 5TH FL, 19104",3910 Powelton Ave,5th Floor,Philadelphia,PA,19104,39.95851601,-75.19923701,267-809-5080,,,,Buprenorphine induction,True,True,,,,IOP/OP | Spanish,,,,True,True,,,,,,True,,,,,,True,Source removed listing,2020-02-28,2020-04-08,,
100052,S00299,PROJECT HOME*,True,"1515 FAIRMOUNT AVE, 19104",1515 Fairmount Ave,,Philadelphia,PA,19104,39.967466,-75.16294898,215-320-6187 x5756,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Housing Assistance,,,,,,,,True,,,,,,,,,True,Source removed listing,2020-02-28,2020-04-08,,
