oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
20,,,17,,,40,Malvern Treatment Centers,Malvern Inpatient,,https://www.malverntreatment.com/malvern-pa/,,610-625-8376,,,940 West King Road,,Malvern,PA,19355,40.02925,-75.5442,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,Address is only for GPS (mail: P.O. Box 356),
21,,,17,,,41,Malvern Treatment Centers,Bethlehem Outpatient,,https://www.malverntreatment.com/allentown-pa/,,610-625-8376,,,2092 Stefko Boulevard,,Bethlehem,PA,18017,40.64191,-75.3463,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
22,,,17,,,42,Malvern Treatment Centers,Pottstown Outpatient,,https://www.malverntreatment.com/pottstown-pa/,,610-625-8376,,,1566 Medical Drive,Suite 201,Pottstown,PA,19464,40.23834,-75.6135,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
23,9,,18,,,,Jefferson Health,My Sister's Place (MSP),,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,https://www.jefferson.edu/,215-955-3792,215-763-1020,,1239 Spring Garden Street,,Philadelphia,PA,19123,39.96229,-75.1591,Yes,No,No,No,Yes,,Yes,"For bed availability, see: ""My Sister's Place""",False,False,True,True,False,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
24,"[15,16.17]",22,19,,,,NPHS (North Philadelphia Health System),Miracles in Progress,,https://bewellctr.org/,www.nphs.com,215-787-2000 (ask for MIP),215-787-2313,215-787-2407,801 West Girard Avenue,,Philadelphia,PA,19122,39.97137,-75.1498,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""NPHS"" and ""Journey of Hope Project""",False,False,True,True,True,,,,Yes,Yes,No,Yes,No,Unclear,Unclear,No,Yes,Unclear,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,False,,[_] Compare Behavioral Wellness details?,
25,"[18,19,20,21]",,,6,,,Behavioral Wellness Center,(formerly NPHS Goldman Clinic),,https://bewellctr.org/,,215-787-2407,215-787-2070,215-787-2080,801 West Girard Avenue,,Philadelphia,PA,19122,39.97137,-75.1498,Yes,Yes,Yes,Yes,Yes,,Unclear,"For bed availability, see: ""NPHS""",False,False,True,True,True,,,,Yes,Yes,Unclear,Unclear,No,No,No,Unclear,Yes,Unclear,No,Yes,No,No,Unclear,Yes,Yes,Yes,Yes,Yes,False,,[_] Compare NPHS details?,
26,,,20,,,36,Nuestra Clínica Residential,Spanish American Civic Association,,https://sacapa.org/human-services/nuestra-clinica/,,717-397-6267,717-431-1435,,50 East New Street,,Lancaster,PA,17602,40.04891,-76.306,,,,,Unclear,,Yes,"For bed availability, see: ""Nuestra Clinica Residential""",False,False,True,True,False,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,,No,Yes,False,,,
27,,,21,,,,Penn Medicine,Presbyterian Medical Center,Inpatient Substance Use Treatment,https://www.med.upenn.edu/recovery/,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/penn-presbyterian-medical-center,215-662-8283 (admission referrals from providers),215-662-8884,215-662-8747,51 North 39th Street,"Wright Saunders Building, 4th Floor",Philadelphia,PA,19104,39.95887,-75.1988,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Presbyterian/Wright4""",False,True,False,True,True,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
28,,,22,,,38,"Re-Enter, Inc.",,,https://philadelphia.pa.networkofcare.org/mh/services/agency.aspx?pid=REENTERINCemclasscbhPhillyCBHem_209_2_0,,215-222-2770 x106 (24 Hours),,,3331 Powelton Avenue,,Philadelphia,PA,19104,39.96049,-75.1908,,,,,Unclear,,Yes,"For bed availability, see: ""Re-Enter""",False,False,True,True,False,,,,,Yes,,,,,,,,,,,,,,,,,No,Yes,True,Data needs review,"Website has just blank page ""Coming soon""",
29,,,23,,,2,CATCH (Citizens Acting Together Can Help),River’s Bend Addiction Treatment Unit,,https://catchinc.com/services/drug-alchohol/riversbend-addiction-treatment-unit/,,215-735-7435,215-755-6112,,2401 Penrose Avenue,2nd Floor,Philadelphia,PA,19145,39.90916,-75.1883,,,,,Unclear,,Yes,"For bed availability, see: ""Riversbend""",False,False,False,True,False,,,,,,,,,,,Yes,,,,,,,,,,,,,False,,,
30,100,,24,20,,,"Self Help Movement, Inc.",,,https://selfhelpmovement.org/,,215-677-7778,215-915-0002,,2600 Southampton Road,,Philadelphia,PA,19116,40.11984,-74.9953,Yes,Yes,No,Unclear,Yes,,Yes,"For bed availability, see: ""Self Help Movement Inc""",True,False,True,True,False,,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,False,,,
31,,,25,148,,,Valley Forge Medical Center and Hospital,Avenues Recovery,,https://vfmc.net/,,610-539-8500,,,1033 West Germantown Pike,,Norristown,PA,19403,40.15823,-75.3681,,,,Yes,Yes,,Yes,"For bed availability, see: ""Valley Forge""",False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
32,66,,26,,,,Northeast Treatment Centers (NET),Wharton Residential Center,,http://netcenters.org/,,215-451-7000,215-288-5490,215-289-3350,2205 Bridge Street,,Philadelphia,PA,19137,40.01063,-75.0691,Yes,Yes,Yes,Yes,Yes,,Yes,"For bed availability, see: ""Wharton Center""",True,False,True,True,False,,,,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,no,No,Yes,No,Yes,False,,,
33,67,24,,11,,,Northeast Treatment Centers,NET Steps,,http://netcenters.org/,,215-831-6039,215-743-6150 x6024,,2205 Bridge Street,,Philadelphia,PA,19137,40.01063,-75.0691,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,False,,,
34,,,27,,,43,Journey of Hope Project,,,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,https://www.journeyofhopeproject.net/,,,,,,Philadelphia,PA,,,,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
35,,,27,,,44,Journey of Hope Project,WomanSpace Philadelphia,,https://www.rhd.org/program/womanspace-philadelphia/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-844-2400,,,6400 Germantown Avenue,,Philadelphia,PA,19119,40.04581,-75.1825,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,False,,,
36,,,27,,,45,Journey of Hope Project,Morris Home,,https://www.rhd.org/morrishome/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-729-3045,,,5037 Woodland Avenue,,Philadelphia,PA,19143,39.93941,-75.2152,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
37,,,27,,,46,Journey of Hope Project,RHD New Start II (3C),,https://www.rhd.org/program/new-start-ii-at-jackson-street/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-537-8236,,,5000 Jackson Street,,Philadelphia,PA,19124,40.01557,-75.0742,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
38,,,27,,,47,Journey of Hope Project,RHD New Start I,,https://www.rhd.org/program/new-start-i/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-228-2323,,,3653 North 15th Street,,Philadelphia,PA,19140,40.00921,-75.1527,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
39,,42,,,,,Northeast Treatment Centers,NET Access Point,,http://netcenters.org/,,844-533-8200,215-408-4987,,499 North 5th Street,Suite B,Philadelphia,PA,19123,39.96049,-75.1467,Yes,Yes,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
40,,43,,,,48,Friends Hospital,,,https://friendshospital.com/,,215-831-2600,800-889-0548,215-831-4600,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,40.02571,-75.1024,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
41,,44,,,,49,Einstein Medical Center Philadelphia,,,https://www.einstein.edu/einstein-medical-center-philadelphia,,215-951-8300,215-456-7890,,5501 Old York Road,,Philadelphia,PA,19141,40.0374,-75.1436,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
42,,45,,,,50,Penn Medicine,Hall Mercer Community Mental Health Assessment Center,,https://www.med.upenn.edu/recovery/,,215-829-5249 (open 24 hours),215-829-5433,,245 South 8th Street,,Philadelphia,PA,19106,39.94682,-75.1542,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
43,,46,,,,51,Temple Health,Temple University Hospital - Episcopal Campus,Crisis Response Center,https://www.templehealth.org/services/psychiatry/crisis-response-center,https://www.templehealth.org/locations/episcopal-campus-tuh,215-707-2577,215-707-1200,,100 East Lehigh Avenue,,Philadelphia,PA,19125,39.99,-75.1292,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
44,,47,,,,52,Philadelphia Children’s Crisis Response Center,,,https://www.philachildrenscrc.com/,,215-878-2600,877-287-4620,,3300 Henry Avenue,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,40.01177,-75.1846,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,False,,,
45,47,"[28,48]",,,48,,PHMC,Pathways to Recovery,,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,,215-731-2402,215-731-2404,215-985-2573,2301 East Allegheny Avenue,2nd Floor,Philadelphia,PA,19134,39.99,-75.106,Yes,Yes,Unclear,No,Yes,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
46,4,1,,1,,,AMHA,"Addiction Medicine and Health Advocates, Inc.",,https://www.amhainc.org/,,215-923-4202,215-923-4202 x101,,928 Market Street,,Philadelphia,PA,19107,39.9514,-75.1561,No,No,Yes,Yes,Yes,,,,,,,,,,,,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,False,,,
47,53,2,,,,53,APM,Asociación Puertorriqueños en Marcha,,https://apmphila.org/,,267-296-7220,267-296-7200,267-296-7223,4301 Rising Sun Avenue,,Philadelphia,PA,19140,40.0159,-75.1291,Yes,No,No,No,Yes,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
48,112,3,,,,,Casa de Consejeria y Salud Integral,,,https://www.casacares.net/,,215-634-3259 x117,215-634-3259,800-273-8255 (mental health crisis hotline),213 West Allegheny Avenue,,Philadelphia,PA,19133,39.99938,-75.1337,Unclear,No,No,No,Unclear,,,,,,,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,False,,,
49,5,4,,,,,PHMC,CHANCES,,https://www.phmc.org/site/32-misc/shared-programs/119-chances,,215-923-0218 x5231,215-923-0218 x5228,215-923-0751,1200 Callowhill Street,Suite 102,Philadelphia,PA,19123,39.95904,-75.1584,Yes,Unclear,No,No,Yes,,,,,,,,,,,,No,Yes,Yes,No,No,Yes,yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,False,,,
50,,"[31,32]",,,45,,PHMC,Care Clinic,,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,,267-398-0247,215-825-8220,215-787-9617,1200 Callowhill Street,Suite 101,Philadelphia,PA,19123,39.95904,-75.1584,Yes,Yes,No,No,Yes,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,False,,,
