oid,site_id,program_name,dba,street,city,state_usa,zipcode,phone,certification,full_certification,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
126,S00254,"Pinnacle Treatment Centers PA-VII, LLC",Hanover Treatment Services,120 Penn Street,Hanover,PA,17331,717-969-8400,Certified,2017-12-19,True,Too far from Philadelphia?,2019-12-24,,,
127,S00255,Pennsylvania Psychiatric Institute,,2501 North 3rd St.,Harrisburg,PA,17110,717-782-6844,Certified,2018-12-13,True,Too far from Philadelphia?,2019-12-24,,,
128,S00256,"Discovery House HA, LLC",Discovery House,3601 Progress Avenue,Harrisburg,PA,17110,717-233-7290,Certified,2003-07-01,True,Too far from Philadelphia?,2019-12-24,,"Changed address (street etc.) since 2019. Formerly: 99 South Cameron St., Harrisburg, PA, 17101",
129,S00257,"RHJ Medical Center, Inc",,1007 Old State Route 119,Hunker,PA,15639,724-696-9600,Certified,2003-11-01,True,Too far from Philadelphia?,2019-12-24,,,
130,S00122,"Discovery House, LLC",Discovery House,"2755 Philmont Avenue, Suite 115",Huntingdon Valley,PA,19006,215-947-4100,Certified,2003-07-01,False,Beyond Philadelphia: check distance,2019-12-24,,,
131,S00258,"Pinnacle Treatment Centers PA-III, LLC",Alliance Medical Services-Johnstown,1425 Scalp Avenue #175,Johnstown,PA,15904,814-269-4700,Certified,2004-06-01,True,Too far from Philadelphia?,2019-12-24,,,
132,S00219,Bowling Green Brandywine,Bowling Green Brandywine,1385 Newark Road,Kennett Square,PA,19348,610-268-3588,Certified,2004-04-07,False,Beyond Philadelphia: check distance,2019-12-24,,,
133,S00259,"ARS of Lancaster, LP",Addiction Recovery Systems,2192 Embassy Dr.,Lancaster,PA,17603,717-394-7160,Certified,2007-06-05,True,Too far from Philadelphia?,2019-12-24,,,
134,S00260,White Deer Run of Lancaster,,53-55 N. West End Avenue,Lancaster,PA,17603,717-396-0650,Certified,2020-12-13,True,Too far from Philadelphia?,2019-12-24,,,
135,S00218,Aldie Foundation Inc.,,2291 Cabot Blvd. West,Langhorne,PA,19047-1806,215-642-3230,Certified,2007-11-13,False,Beyond Philadelphia: check distance,2019-12-24,,,
136,S00125,SOAR Corp,,33 WILLIAMS STREET,LANSDOWNE,PA,19050,215-464-4450,Certified,2011-12-21,False,Beyond Philadelphia: check distance,2019-12-24,,,
137,S00220,RCA MAT PA LLC,Delaware County Healthcare Clinic,53 N UNION AVE,LANSDOWNE,PA,19050,484-257-1350,Certified,2020-12-28,False,Beyond Philadelphia: check distance,2019-12-24,,,
138,S00261,New Perspectives of White Deer Run,,3030 Chestnut Street,Lebanon,PA,17042,717-270-3900,Certified,2020-12-13,True,Too far from Philadelphia?,2019-12-24,,,
139,S00262,"Advanced Treatment Systems, LLC",Lebanon Treatment Center,3030 Chestnut St.,Lebanon,PA,17046,717-273-8000,Certified,2007-06-14,True,Too far from Philadelphia?,2019-12-24,,,
140,S00263,Polaris Renewal Services II,,2262 University Drive,Lemont Furnace,PA,15456,724-323-8200,Certified,2020-11-19,True,Too far from Philadelphia?,2019-12-24,,,
141,S00221,SOAR CORP,SOAR Corp,7500 BRISTOL PIKE,LEVITTOWN,PA,19057,215-269-9081,Certified,2017-12-19,False,Beyond Philadelphia: check distance,2019-12-24,,,
142,S00264,UPMC McKeesport Hospital,Addiction Medicine Services,1500 Fifth Avenue,McKeesport,PA,15132,412-664-3342,Certified,2020-05-12,True,Too far from Philadelphia?,2019-12-24,,,
143,S00265,"Pinnacle Treatment Centers PA-VI, LLC dba Greenfield Counseling, Inc.",Greenfield Counseling,11127 Perry Hwy,Meadville,PA,16335,814-337-7431,Certified,2008-07-18,True,Too far from Philadelphia?,2019-12-24,,,
144,S00266,"Discovery House CC, LLC",Discovery House,920 Century Drive,Mechanicsburg,PA,17055,717-766-6974,Certified,2016-08-18,True,Too far from Philadelphia?,2019-12-24,,,
145,S00267,Bradford Recovery Center,,64 School Street,Millerton,PA,16936,570-537-6035,Provisional,,True,Too far from Philadelphia?,2019-12-24,,,
146,S00268,"Pennsylvania Associates, LLC",Mount Pocono Medical,1151 Pocono Blvd Unit #3,Mt Pocono,PA,18344-1033,570-839-7246,Certified,2011-04-07,True,Too far from Philadelphia?,2019-12-24,,,
147,S00269,"Discovery House-NC, LLC",Discovery House,2710 West State Street,New Castle,PA,16101,724-598-7999,Certified,2009-09-14,True,Too far from Philadelphia?,2019-12-24,,,
148,S00031,Valley Forge Medical Center and Hospital,Avenues Recovery Medical Center at Valley Forge,1033 West Germantown Pike,Norristown,PA,19403,610-539-8500,Certified,2006-09-12,False,Beyond Philadelphia: check distance,2019-12-24,,,
149,S00124,Montgomery County Recovery Center,Montgomery County Recovery Center,316 DeKalb St.,Norristown,PA,19401,610-272-3710,Certified,2004-05-01,False,Beyond Philadelphia: check distance,2019-12-24,,,
150,S00270,"Habit Opco, LLC",Habit Opco - Allentown,"2970 Corporate Court, Suite 1",Orefield,PA,18069,610-481-0444,Certified,2010-01-27,True,Too far from Philadelphia?,2019-12-24,,,
151,S00271,Polaris Renewal Services,,3591 Pittsburgh Road,Perryopolis,PA,15473,724-736-8390,Certified,2013-08-22,True,Too far from Philadelphia?,2019-12-24,,,
152,S00272,"Pinnacle Treatment Centers PA-II, LLC",Alliance Medical Services Ensign II,739 Ensign Ave.,Pittsburgh,PA,15226,412-488-6360,Certified,2005-07-25,True,Too far from Philadelphia?,2019-12-24,,,
153,S00273,"Pinnacle Treatment Centers PA-I, LLC",Alliance Medical Services Ensign I,729 Ensign Ave.,Pittsburgh,PA,15226,412-488-6360,Certified,2004-01-01,True,Too far from Philadelphia?,2019-12-24,,,
154,S00274,"Center for Behavioral Health-PA, LLC",Discovery House,1391 Washington Blvd.,Pittsburgh,PA,15206,412-661-9222,Certified,2006-06-20,True,Too far from Philadelphia?,2019-12-24,,,
155,S00275,"Progressive Medical Specialists, Inc.",OTP,2900 Smallman St,Pittsburgh,PA,15201,412-391-6384,Certified,2006-07-20,True,Too far from Philadelphia?,2019-12-24,,,
156,S00276,"Tadiso, Inc.",,1425 Beaver Ave.,Pittsburgh,PA,15233,412-322-8415,Certified,2004-07-29,True,Too far from Philadelphia?,2019-12-24,,,
157,S00277,VA Pittsburgh Healthcare System Center for Treatment of Addictive Disorders,Opioid Substitution Treatment Clinic,"VA Pittsburgh Healthcare System, University Drive",Pittsburgh,PA,15240,412-360-6092,Certified,2005-11-16,True,Too far from Philadelphia?,2019-12-24,,,
158,S00278,"Pinnacle Treatment Centers PA-IV, LLC",Summit Medical Services,3121 Smallman St.,Pittsburgh,PA,15201,412-255-8717,Certified,2005-10-24,True,Too far from Philadelphia?,2019-12-24,,,
159,S00222,"Habit Opco, LLC",Habit OPCO - Pottstown,301 Circle of Progress,Pottstown,PA,19464,610-970-5410,Certified,2010-01-27,True,Too far from Philadelphia?,2019-12-24,,,
160,S00279,"Northeast Family Health Care, LLC",Medical Director,1040 S. West End Boulevard,Quakertown,PA,18951-2634,267-347-4560,Certified,2013-05-20,True,Too far from Philadelphia?,2019-12-24,,,
161,S00223,Pennsylvania Adult & Teen Challenge,Pennsylvania Adult & Teen Challenge,Pennsylvania Adult Teen Challenge,Rehrersburg,PA,19550-5000,717-933-4148,Certified,2018-10-02,True,Too far from Philadelphia?,2019-12-24,,,
162,S00280,"Clear Choices, LLC",,373 Cleveland Street,Rochester,PA,15074,724-775-7905,Certified,2012-08-14,True,Too far from Philadelphia?,2019-12-24,,,
163,S00281,Rainbow Recovery Center,,912 E. State Street,Sharon,PA,16146,724-269-5130,Certified,2009-08-31,True,Too far from Philadelphia?,2019-12-24,,"Changed address (street etc.) since 2019. Formerly: 112 Timber Village Lane, Mercer, PA, 16137",
164,S00282,PA Care LLC,State College Medical,"3091 Enterprise Drive, Suite 150",State College,PA,16801,814-235-6986,Certified,2012-09-13,True,Too far from Philadelphia?,2019-12-24,,,
165,S00112,Crozer Chester Medical Center,Prospect Crozer Medical Center,1 medical center blvd,Upland,PA,19013,610-619-8732,Certified,2018-04-04,False,Beyond Philadelphia: check distance,2019-12-24,,,
166,S00283,"RHJ Medical Center, Inc./Vandergrift",,2994 River Road,Vandergrift,PA,15690,724-696-9600,Certified,2008-09-03,True,Too far from Philadelphia?,2019-12-24,,,
167,S00284,SOAR CORP,SOAR CORP,655 LOUIS DRIVE,WARMINSTER,PA,18974,215-464-4450,Certified,2019-12-30,False,Beyond Philadelphia: check distance,2019-12-24,,,
168,S00285,"Progressive Medical Specialist, Inc.",OTP,2453 West Pike Rd.,Washington,PA,15342,724-873-5655,Certified,2006-07-20,True,Too far from Philadelphia?,2019-12-24,,,
169,S00286,"Echo Treatment Center, LLC",Methadone Clinic,50 east Wylie ave suites 2 and 3,washington,PA,15301,724-222-6220,Certified,2017-01-13,True,Too far from Philadelphia?,2019-12-24,,,
170,S00287,"Habit Opco, LLC",Habit OPCO - Watsontown,759 Susquehanna Trail,Watsontown,PA,17777,570-538-1240,Certified,2013-05-01,True,Too far from Philadelphia?,2019-12-24,,,
171,S00288,"Wilkes-Barre Behavioral Hospital Company, LLC.",CHOICES,Rear 307 Laird St.,Wilkes-Barre,PA,18702,570-408-9320,Certified,2006-02-07,True,Too far from Philadelphia?,2019-12-24,,,
172,S00289,"Western Psychiatric Institute and Clinic, Narcotic Addiction treatment Program",,225 Penn Avenue,Wilkinsburg,PA,15221,412-864-5300,Certified,2003-12-14,True,Too far from Philadelphia?,2019-12-24,,,
173,S00290,White Deer Run Cove Forge,,202 Cove Forge Road,Williamsburg,PA,16693,800-873-2131,Certified,2020-11-25,True,Too far from Philadelphia?,2019-12-24,,,
174,S00291,"Williamsport Family Medical Center, LLC",,422 Park Ave,Williamsport,PA,17701,570-505-1123,Certified,2014-07-28,True,Too far from Philadelphia?,2019-12-24,,"Changed address (street etc.) since 2019. Formerly: 2062 Lycoming Creek Road, Williamsport, PA, 17701",
175,S00224,New Directions Treatment Services,,1 Park Plaza,Wyomissing,PA,19610,610-750-6130,Certified,2019-11-13,True,Too far from Philadelphia?,2019-12-24,,,
176,S00292,White Deer Run of York,,106 Davies Drive,York,PA,17402,717-840-2308,Certified,2020-12-14,True,Too far from Philadelphia?,2019-12-24,,,
177,S00293,Pyramid Healthcare York Pharmacotherapy Services,,104 Davies Drive,York,PA,17402,717-840-2300,Certified,2009-05-14,True,Too far from Philadelphia?,2019-12-24,,,
178,S00294,Bradford Regional Medical Center,,116 Interstate Parkway,Bradford,PA,16701,814-362-8421,Certified,2021-06-16,True,Too far from Philadelphia?,2021-01-16,,Updated certification in 2021: from Provisional 2021-01-16 to Certified 2021-03-02.,
179,S00295,ESPER TREATMENT CENTER,,844 E COLUMBUS AVE,CORRY,PA,16407,814-459-0817,Certified,,True,Too far from Philadelphia?,2021-01-16,,Updated certification in 2021: from Provisional 2021-03-02 to Certified 2021-07-09.,
180,S00225,Richard J Caron Foundation Inc.,Caron Treatment Centers,243 North Galen Hall Rd,Wernersville,PA,19565,610-678-2332,Certified,2021-05-18,True,Too far from Philadelphia?,2021-01-16,,Updated certification in 2021: from Provisional 2021-03-02 to Certified 2021-07-09.,
181,S00226,"Livengrin Foundation, Inc.",Livengrin Foundation,4833 HULMEVILLE RD,BENSALEM,PA,19020-3099,215-638-5200,Provisional,,False,Beyond Philadelphia: check distance,2021-07-09,,New sometime between 2021-03-02 and 2021-07-09,
182,S00296,"Pinnacle Treatment Centers PA-IX, LLC",Hazleton Treatment Services,534 W. Broad Street,Hazleton,PA,18201,570-497-5173,Provisional,,True,Too far from Philadelphia?,2021-07-09,,New sometime between 2021-03-02 and 2021-07-09,
183,S00297,Clearbrook Treatment Centers,Huntington Creek Recovery Center,890 Bethel Hill Road,Shickshinny,PA,18655,,Provisional,,True,Too far from Philadelphia?,2021-07-09,,New sometime between 2021-03-02 and 2021-07-09,
