oid,site_id,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,dental,wdc,hcv,ref1,ref2,ref3,ref4,ref5,ref6,ref7,archival_only,why_hidden,data_review,date_update
100012,S00210,other_mat,CleanSlate,Outpatient Addiction Medicine,Port Richmond,https://www.cleanslatecenters.com/philadelphia-port-richmond-pennsylvania,,215-433-1855,833-505-4673 (HOPE),,3380 Memphis Street,,Philadelphia,PA,19134,39.99129176,-75.10247758,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100013,S00214,other_mat,Main Line Health,"Mario Littman, MD, and Sam Hamid, MD",,https://www.mainlinehealth.org/find-a-doctor/mario-littman,,215-878-7050,,,7300 City Avenue,Suite 203,Philadelphia,PA,19151,39.980165,-75.26765404,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100014,S00200,other_mat,Psychiatry in Philadelphia & the Main Line,"Michael Ascher, MD",,https://aschermd.com/,,646-812-1421,,,255 South 17th Street,Suite 605,Philadelphia,PA,19103,39.94822961,-75.1693963,True,,,,True,,,Suite 1008 and Suite 1410 at this same street address have other waivered buprenorphine practitioners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"[_] Add other address from practice website too? Main Line: 257 East Lancaster Avenue, Suite 204, Wynnewood, PA 19096",
100015,S00206,other_mat,BAYADA Home Health Care,Philadelphia Visits,,https://www.bayada.com/offices/pa/philadelphia/1020-n--delaware-ave/home-health,,215-413-0600,267-800-1009,,1020 North Delaware Avenue,,Philadelphia,PA,19125,39.965826,-75.13278503,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100016,S00203,other_mat,Courage Medicine Health Center Inc.,"Trisha Acri, MD",,https://couragemedicine.org/about/,https://www.integratedcarenews.com/sites/courage-medicine-health-center/,267-217-3217,,,1010 West Lehigh Avenue,,Philadelphia,PA,19133,39.992899,-75.14854602,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,NPI updated Sept 2020 lists this practice address,
100017,S00204,tbd_unclear,Courage Medicine,,,https://couragemedicine.org/,https://www.integratedcarenews.com/sites/courage-medicine-health-center/,267-217-3217,215-385-5031,,7198 Castor Avenue,,Philadelphia,PA,19149,40.04920402,-75.06845903,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100018,S00201,other_mat,Beasley Addiction Specialists,"C. Britt Beasley, MD",,https://beasleyaddiction.com/,,267-417-9078,,,2401 Pennsylvania Avenue,Suite #1C-44,Philadelphia,PA,19130,39.96678401,-75.17772997,True,,,,True,,,,,,,,,,,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100019,S00207,xx_unlikely,Beaumont Retirement,at Bryn Mawr,,https://www.beaumontretirement.com/about/management-team/,,,,,1201 Latona Street,,Philadelphia,PA,19147,39.93472801,-75.16426301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Not a practice site,Archiving this entry simply to rule out 1 BP address as MAT listing,
100020,S00202,other_mat,"Private Practice of Psychiatry, Philadelphia","Chris Pagnani, MD PC",,https://chrispagnanimd.com/,,267-687-0655,,,1528 Walnut Street,Suite 1415,Philadelphia,PA,19102,39.94945698,-75.16733196,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100021,S00211,other_mat,FamilyMedAssoc,Dr. John J. Bowden Jr.,Center City Office,https://www.familymedassoc.com/,,215-977-7721,,,205 North Broad Street,Suite 500,Philadelphia,PA,19107,39.95645201,-75.16233702,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100022,S00205,other_mat,Adult Psychiatry and Pain Management,"Richard M. Sobel, MD",,https://richardsobelmd.com/,,215-731-1901,,,1500 Walnut Street,Suite 902,Philadelphia,PA,19102,39.94914098,-75.16636201,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100023,S00215,other_mat,Southeastern Executive Health,"David Clements, MD, and Daniel Bigman, MD",,https://www.myexecutivehealth.com/about-us,,267-361-1001,,,1845 Walnut Street,Suite 1540,Philadelphia,PA,19103,39.950697,-75.171595,True,,,,True,,,,,,,,,,,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100024,S00199,tbd_unclear,Phila Pain Clinic,,,http://www.philapainclinic.com/,,215-969-2331,,,12000 Bustleton Avenue,Suite 208,Philadelphia,PA,19116,40.122286,-75.01654102,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Data needs review,[_] Is pain management clinic unsuitable for listing in MAT finder?,
100025,S00213,tbd_unclear,Horizon House,,,https://www.hhinc.org/,,215-386-3838,,,5901 Market Street,3rd Floor,Philadelphia,PA,19139,39.96207099,-75.23911902,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,False,,[_] Is this site directly affiliated with DVCH Fairmount Primary Care at Horizon House? (oid 152),
100026,S00208,other_mat,AbsoluteCare,Philadelphia,,https://www.absolutecare.com/members-patients/abcare-philadelphia/,,267-463-5800,,,1080 North Delaware Avenue,Suite 800,Philadelphia,PA,19125,39.9656834,-75.13248116,True,,,,True,,,,,,,,,,False,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,False,,,
100027,S00209,other_mat,CleanSlate,Outpatient Addiction Medicine,Philadelphia Treatment Center,https://www.cleanslatecenters.com/philadelphia-pennsylvania,,267-238-2406,833-505-4673 (HOPE),,2300 South Broad Street,Suite 205,Philadelphia,PA,19145,39.92181401,-75.17068498,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100028,S00212,other_mat,FamilyMedAssoc,Dr. John J. Bowden Jr.,Cheltenham Office,https://www.familymedassoc.com/,,215-548-3390,,,1738 West Cheltenham Avenue,,Philadelphia,PA,19126,40.06638101,-75.14515504,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100029,S00006,ba_weekly,RHD,Family House Now,,https://www.rhd.org/program/family-house-now-new-options-for-women/,,215-878-8616,,,1020 North 48th Street,,Philadelphia,PA,19131,39.97091464,-75.21732349,,,,,True,,True,"Women only | For bed availability, see: ""Family House Now""",False,False,True,True,False,,,,,,,,,,,,,,True,,,,,,,,True,False,,,,,,,,,,,False,,,
100030,S00007,ba_weekly,Firetree Ltd.,Conewago Place (Hummelstown),,https://www.firetree.com/locations/conewago-place/,,717-533-0428,888-347-3873,,424 Nye Road,,Hummelstown,PA,17036,40.23964601,-76.64827604,,,,,True,,True,"Men only | For bed availability, see: ""Firetree/Conewago Hummelstown""",False,False,True,True,False,,,,,,,,,,,True,,,,,,,,,,,False,True,,,,,,,,,,,False,,,
100031,S00008,ba_weekly,Firetree Ltd.,Conewago Pottsville,,https://www.firetree.com/locations/conewago-pottsville/,,570-628-5835,888-347-3873,,202 South Centre Street,,Pottsville,PA,17901,40.68397502,-76.193465,,,,,True,,True,"For bed availability, see: ""Firetree/Conewago Pottsville""",False,False,False,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,False,,,
100032,S00009,ba_weekly,"Good Friends, Inc.",,,https://goodfriendsinc.org,,215-736-2861,,,868 West Bridge Street,,Morrisville,PA,19067,40.20093499,-74.79211104,,,,,,,True,"Men only | For bed availability, see: ""Good Friends""",True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,False,,,
100033,S00010,ba_weekly,Penn Medicine,HUP Cedar,,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/hospital-of-the-university-of-pennsylvania-cedar-ave,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,215-748-9000,,,501 South 54th Street,,Philadelphia,PA,19143,39.95241393,-75.23024877,True,,,False,True,,True,"For bed availability, see: ""HUP Cedar""",False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100034,S00015,ba_weekly,Keystone Center,,,https://keystonecenter.net/,,610-876-9000,,,2001 Providence Avenue,,Chester,PA,19013,39.86595399,-75.36057498,True,True,False,False,True,,True,"For bed availability, see: ""Keystone Center""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100035,S00017,ba_weekly,"Libertae, Inc.",Freedom in Recovery,,https://www.libertae.org/,,215-639-8681,,,5245 Bensalem Boulevard,,Bensalem,PA,19020,40.114369,-74.90854699,,,,,,,True,"Women only | For bed availability, see: ""Libertae""",True,False,True,False,False,,,,True,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,False,,,
100036,S00026,ba_weekly,Nuestra Clínica Residential,Spanish American Civic Association,,https://sacapa.org/human-services/nuestra-clinica/,,717-397-6267,717-431-1435,,50 East New Street,,Lancaster,PA,17602,40.04891098,-76.30599197,,,,,,,True,"Men only | For bed availability, see: ""Nuestra Clinica Residencial""",False,False,True,True,False,,,,,True,,,,,,True,,,,,,,,,True,,False,True,,,,,,,,,,,False,,,
100037,S00004,ba_weekly,Eagleville Hospital,,,https://www.eagleville.org/,,610-539-6000,800-255-2019,610-539-6000 x1,100 Eagleville Road,,Eagleville,PA,19403,40.15626598,-75.41479902,,,,True,True,,True,"For bed availability, see: ""Eagleville""",False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100038,S00028,ba_weekly,"Re-Enter, Inc.",,,https://philadelphia.pa.networkofcare.org/mh/services/agency.aspx?pid=REENTERINCemclasscbhPhillyCBHem_209_2_0,,215-222-2770 x106 (24 Hours),,,3331 Powelton Avenue,,Philadelphia,PA,19104,39.96048702,-75.19076701,,,,,,,True,"Men only | For bed availability, see: ""Re-Enter""",False,False,True,True,False,,,,,True,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,False,Data needs review,"Website has just blank page ""Coming soon""",
100039,S00019,ba_weekly,Malvern Treatment Centers,Philadelphia Inpatient,Constitution Health Plaza,https://www.malverntreatment.com/malvern-philadelphia/,,610-625-8376,,,1930 South Broad Street,3rd Floor,Philadelphia,PA,19145,39.92632402,-75.17026898,,,,,True,,True,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,Opened 2021-02-22,
100040,S00020,ba_weekly,Malvern Treatment Centers,Malvern Inpatient,,https://www.malverntreatment.com/malvern-pa/,,610-625-8376,,,940 West King Road,,Malvern,PA,19355,40.02924925,-75.54418768,,,,,True,,True,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,Address is only for GPS (mail: P.O. Box 356),
100041,S00021,ba_weekly,Malvern Treatment Centers,Bethlehem Outpatient,,https://www.malverntreatment.com/allentown-pa/,,610-625-8376,,,2092 Stefko Boulevard,,Bethlehem,PA,18017,40.64191102,-75.34634301,,,,,True,,True,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100042,S00022,ba_weekly,Malvern Treatment Centers,Pottstown Outpatient,,https://www.malverntreatment.com/pottstown-pa/,,610-625-8376,,,1566 Medical Drive,Suite 201,Pottstown,PA,19464,40.238336,-75.61349103,,,,,True,,True,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100043,S00034,ba_monthly,Journey of Hope Project,,,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,https://www.journeyofhopeproject.net/,,,,[No address or phone identified: see website for locations],,Philadelphia,PA,,39.97137201,-75.14977598,,,,,,,True,"For bed availability, see: ""Journey of Hope Project""",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100044,S00035,ba_monthly,Journey of Hope Project,WomanSpace Philadelphia,,https://www.rhd.org/program/womanspace-philadelphia/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-844-2400,,,6400 Germantown Avenue,,Philadelphia,PA,19119,40.045808,-75.18252902,,,,,,,True,"Women only | For bed availability, see: ""Journey of Hope Project""",,,,,,True,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,False,,,
100045,S00036,ba_monthly,Journey of Hope Project,Morris Home,,https://www.rhd.org/morrishome/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-729-3045,,,5037 Woodland Avenue,,Philadelphia,PA,19143,39.93940599,-75.21516396,,,,,,,True,"For bed availability, see: ""Journey of Hope Project""",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100046,S00037,ba_monthly,Journey of Hope Project,RHD New Start II (3C),,https://www.rhd.org/program/new-start-ii-at-jackson-street/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-537-8236,,,5000 Jackson Street,,Philadelphia,PA,19124,40.01556601,-75.07419997,,,,,,,True,"For bed availability, see: ""Journey of Hope Project""",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100047,S00038,ba_monthly,Journey of Hope Project,RHD New Start I,,https://www.rhd.org/program/new-start-i/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-228-2323,,,3653 North 15th Street,,Philadelphia,PA,19140,40.00921199,-75.15270303,,,,,,,True,"For bed availability, see: ""Journey of Hope Project""",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100048,S00040,dbhids_assessment,Friends Hospital,,,https://friendshospital.com/,,215-831-2600,800-889-0548,215-831-4600,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,40.02570799,-75.10244002,True,False,False,False,True,True,,Offers assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100049,S00041,dbhids_assessment,Einstein Medical Center Philadelphia,,,https://www.einstein.edu/einstein-medical-center-philadelphia,,215-951-8300,215-456-7890,,5501 Old York Road,,Philadelphia,PA,19141,40.03739899,-75.14355996,True,False,False,False,True,True,,Offers assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100050,S00042,dbhids_assessment,Penn Medicine,Hall Mercer Community Mental Health Assessment Center,,https://www.med.upenn.edu/recovery/,,215-829-5249 (open 24 hours),215-829-5433,,245 South 8th Street,,Philadelphia,PA,19106,39.94681899,-75.15424798,,False,False,,,True,,Offers assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100051,S00043,dbhids_assessment,Temple Health,Temple University Hospital - Episcopal Campus,Crisis Response Center,https://www.templehealth.org/services/psychiatry/crisis-response-center,https://www.templehealth.org/locations/episcopal-campus-tuh,215-707-2577,215-707-1200,,100 East Lehigh Avenue,,Philadelphia,PA,19125,39.98999999,-75.12924501,True,False,False,False,True,True,,Offers assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100052,S00044,dbhids_assessment,Philadelphia Children's Crisis Response Center,,,https://www.philachildrenscrc.com/,,215-878-2600,877-287-4620,,3300 Henry Avenue,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,40.01177098,-75.18455996,False,False,False,,,True,,Offers assessment,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,,,
100053,S00047,dbhids_else,Asociación Puertorriqueños en Marcha (APM),,,https://apmphila.org/how-we-help/health/,,267-296-7220,267-296-7200,267-296-7223,4301 Rising Sun Avenue,,Philadelphia,PA,19140,40.015901,-75.12910001,True,False,False,False,True,,,,,,,,,,,,False,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True,True,,,,,,,,,,,False,,,
100054,S00300,dbhids_else,Penn Medicine,Total Recovery (Outpatient),,https://www.med.upenn.edu/recovery/,https://www.drug-rehabs.org/rehab-center/Total-Recovery-at-Penn-Medicine_Philadelphia_PA.htm,215-662-8747,,,4040 Market Street,"2nd Floor, Suite 200 & 220",Philadelphia,PA,19104,39.95693598,-75.20344799,True,True,False,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,False,,Address & phone found via website,
100055,S00301,other_mat,Penn Psychiatry,Charles O'Brien Center for Addiction Treatment,,https://www.med.upenn.edu/addiction/,,215-746-5900,,,3535 Market Street,"5th Floor, Suite 500",Philadelphia,PA,19104,39.95655402,-75.19373202,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100056,S00122,samhsa_otp,Southeastern Pennsylvania Comprehensive Treatment Centers,Huntingdon Valley CTC,,https://www.sepennctc.com/location/huntingdon-valley/,,855-613-6098,,,2755 Philmont Avenue,,Huntingdon Valley,PA,19006,40.121653,-75.04771399,True,False,True,True,True,,,,,,,,,,,,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,,,,,,,,,,,False,,[_] OTP at this address has changed its name and affiliation; this listing provides more recent website and phone than SAMHSA,
100057,S00303,other_mat,Penn Medicine,Pennsylvania Hospital,,https://www.pennmedicine.org/practices/hospital-medicine-pennsylvania-hospital,,800-789-7366,,,800 Spruce St,,Philadelphia,PA,19107,39.9456,-75.15559998,True,,,,True,,,13 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_001,
100058,S00304,other_mat,Penn Medicine,Internal Medicine University City (HUP),,https://www.pennmedicine.org/practices/internal-medicine-university-city,,215-349-5200,800-789-7366,,3701 Market St,Suite 741,Philadelphia,PA,19104,39.95684999,-75.19604903,True,,,,True,,,9 listings for waivered practitioners confirmed in 2020q3/q4 (1 of 2 suites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_002[a],
100059,S00333,other_mat,Penn Medicine,Edward S. Cooper Internal Medicine (HUP),,https://www.pennmedicine.org/practices/edward-s-cooper-internal-medicine,,215-662-2250,800-789-7366,,3701 Market St,Suite 640,Philadelphia,PA,19104,39.95684999,-75.19604903,True,,,,True,,,9 listings for waivered practitioners confirmed in 2020q3/q4 (2 of 2 suites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_002[b],
100060,S00305,other_mat,Penn Medicine,"Family Care, University City (Penn Presbyterian)",,https://www.pennmedicine.org/practices/family-care,,215-662-8777,800-789-7366,,3737 Market St,9th Floor,Philadelphia,PA,19104,39.95666514,-75.19733289,True,,,,True,,,8 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_003,
100061,S00306,other_mat,Temple Health,TRUST Clinic (Temple Recovery Using Scientific Treatments),,https://www.templehealth.org/services/population-health/trust-clinic,,215-707-1122,,,1316 West Ontario St,,Philadelphia,PA,19140,40.00443366,-75.15063785,True,,,,True,,,Partnering with multiple local Community Health Centers (see website) | 7 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_004,
100062,S00308,other_mat,Jefferson University Hospitals,,,https://hospitals.jefferson.edu/find-a-location/locations/1020-sansom-street.html,,800-533-3669 (JEFF-NOW),,,1020 Sansom St,,Philadelphia,PA,19107,39.94922602,-75.15810299,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_006,
100063,S00309,other_mat,Crossroads,of East Westmoreland Street,,https://locations.crossroadstreatmentcenters.com/pa/philadelphia/PA120/,,800-805-6989,,,2317 East Westmoreland St,,Philadelphia,PA,19134,39.990576,-75.10436401,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"geobupe_007: [_] See website for 3 other Philadelphia locations maybe to add (same phone for all = 800-805-6989): 4821 Frankford Ave, Suite E, 19124 | 2307 N Broad Street, 19132 | 1335 W. Tabor Rd, 19141",
100064,S00310,other_mat,Temple Health,Comprehensive HIV Program (Main Campus),,https://www.templehealth.org/services/comprehensive-hiv,https://www.templehealth.org/locations/temple-university-hospital,215-707-2401,800-836-7536 (800-TEMPLE-MED),,3322 North Broad St,,Philadelphia,PA,19140,40.00403079,-75.15246497,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4 | See also Temple Episcopal Campus (per website),,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_008,
100065,S00311,other_mat,Temple Health,Medical Education and Research Building (MERB),Lewis Katz School of Medicine,https://medicine.temple.edu/about/administrative-offices/office-faculty-affairs,,,,,3500 North Broad St,11th Floor,Philadelphia,PA,19140,40.00631499,-75.15223901,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Not a practice site,"geobupe_009: See instead: 3401 North Broad Street, 19140 (Temple)",
100066,S00312,other_mat,Penn Medicine,Treatment Research Center,,https://www.pennmedicine.org/practices/treatment-research-center,,,,,3900 Chestnut St,,Philadelphia,PA,19104,39.954975,-75.200459,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Not a practice site (see 3401 North Broad instead),"geobupe_010: See instead: 3400 Spruce Street, 19104 (Penn)",
100067,S00313,other_mat,Murray Brand & Associates,Pinnacle Physicians Group,,https://pinnaclephysicians.com/murray-brand-associates/,https://findadoc.ariahealth.org/details/481/murray-brand-family_medicine-philadelphia,215-338-5200,,,7524 Frankford Ave,,Philadelphia,PA,19136,40.03910801,-75.03525899,True,,,,True,,,3 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_011: [_] See group website for other primary-care practices (e.g. B. Stein) that also offer buprenorphine: https://pinnaclephysicians.com/,
