oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
11,100042,100050,,100010,,,dbhids_else,Mercy Philadelphia Hospital,,,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,,215-748-9391,215-831-2600,,501 South 54th Street,,Philadelphia,PA,19143,39.95241393,-75.23024877,Yes,Yes,Yes,Yes,Yes,Yes,,Offers assessment,False,False,False,,,,,,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,True,Source removed record,,
12,100065,100012,1011,,,,ba_weekly,PHMC,"Interim House, Inc.",,https://interimhouse.phmc.org/,,215-849-4606 x6617,215-849-4606 x6607,215-849-4606 x6602,333 West Upsal Street,,Philadelphia,PA,19119,40.04313401,-75.18895501,Yes,Yes,No,No,Yes,,Yes,"Women only | For bed availability, see: ""Interim House""",False,,False,False,False,,Yes,Yes,Yes,Yes,Unclear,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Unclear,No,Yes,No,False,,,
13,100034,,1012,,,,ba_weekly,PHMC,Interim House West,,https://www.phmc.org/site/32-misc/shared-programs/155-ihw,https://www.phmc.org,215-871-0300,,,4108 Parkside Avenue,,Philadelphia,PA,19104,39.975203,-75.20738103,Yes,Yes,No,No,Yes,,Yes,"Women only | For bed availability, see: ""Interim House West""",False,,,False,False,,Yes,Yes,No,Yes,Unclear,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
14,100030,100017,1013,100022,,,ba_weekly,Kensington Hospital,,,https://www.kensingtonhospital.org/,,215-426-8100,215-426-8100 x6020,215-426-8100 x6005,136 West Diamond Street,,Philadelphia,PA,19122,39.98182741,-75.13466693,Yes,No,Yes,Yes,Yes,,Yes,"For bed availability, see: ""Kensington""",False,False,False,False,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
15,,,1014,,,100034,ba_weekly,Keystone Center,,,https://keystonecenter.net/,,610-876-9000,,,2001 Providence Avenue,,Chester,PA,19013,39.86595399,-75.36057498,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Keystone Center""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
16,100036,,1015,100009,,,ba_weekly,Kirkbride Center,,,http://www.kirkbridecenter.com/,,215-471-2600,215-471-2488,215-471-2078,111 North 49th Street,,Philadelphia,PA,19139,39.96135098,-75.21802798,Yes,Yes,Yes,Yes,Yes,,Yes,"For bed availability, see: ""Kirkbride""",False,False,,False,,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
17,,,1016,,,100035,ba_weekly,"Libertae, Inc.",Freedom in Recovery,,https://www.libertae.org/,,215-639-8681,,,5245 Bensalem Boulevard,,Bensalem,PA,19020,40.114369,-74.90854699,,,,,Unclear,,Yes,"Women only | For bed availability, see: ""Libertae""",,,,False,,False,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,False,,,
18,100097,,1017,,,,ba_weekly,Malvern Treatment Centers,Willow Grove Inpatient,,https://www.malverntreatment.com/willow-grove-pa/,https://www.malverntreatment.com/,610-625-8376,610-647-0330,,240 Fitzwatertown Road,,Willow Grove,PA,19090,40.15319502,-75.127733,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,,,False,,,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,False,,[_] 5 locations: Which are included in DBHIDS bed availability updates? (https://www.malverntreatment.com/locations/),
19,,,1017,,,100039,ba_weekly,Malvern Treatment Centers,Philadelphia Inpatient,Constitution Health Plaza,https://www.malverntreatment.com/malvern-philadelphia/,,610-625-8376,,,1930 South Broad Street,3rd Floor,Philadelphia,PA,19145,39.92632402,-75.17026898,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,Opened 2021-02-22,
20,,,1017,,,100040,ba_weekly,Malvern Treatment Centers,Malvern Inpatient,,https://www.malverntreatment.com/malvern-pa/,,610-625-8376,,,940 West King Road,,Malvern,PA,19355,40.02924925,-75.54418768,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,Address is only for GPS (mail: P.O. Box 356),
21,,,1017,,,100041,ba_weekly,Malvern Treatment Centers,Bethlehem Outpatient,,https://www.malverntreatment.com/allentown-pa/,,610-625-8376,,,2092 Stefko Boulevard,,Bethlehem,PA,18017,40.64191102,-75.34634301,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
22,,,1017,,,100042,ba_weekly,Malvern Treatment Centers,Pottstown Outpatient,,https://www.malverntreatment.com/pottstown-pa/,,610-625-8376,,,1566 Medical Drive,Suite 201,Pottstown,PA,19464,40.238336,-75.61349103,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
23,100009,,1018,,,,ba_weekly,Jefferson University Hospitals,My Sister's Place (MSP),,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,https://www.jefferson.edu/,215-955-3792,215-763-1020,,1239 Spring Garden Street,,Philadelphia,PA,19123,39.96228599,-75.15907403,Yes,No,No,No,Yes,,Yes,"Women only | For bed availability, see: ""My Sister's Place""",False,,,False,,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
24,"[100015,100016,100017]",100022,1019,,,,ba_weekly,NPHS (North Philadelphia Health System),Miracles in Progress,,https://bewellctr.org/,www.nphs.com,215-787-2000 (ask for MIP),215-787-2313,215-787-2407,801 West Girard Avenue,,Philadelphia,PA,19122,39.97137201,-75.14977598,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""NPHS"" and ""Journey of Hope Project""",False,,False,False,,,,,Yes,Yes,No,Yes,No,Unclear,Unclear,No,Yes,Unclear,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,False,,[_] Compare Behavioral Wellness details?,
25,"[100018,100019,100020,100021]",,,100006,,,samhsa_otp,Behavioral Wellness Center,(formerly NPHS Goldman Clinic),,https://bewellctr.org/,,215-787-2407,215-787-2070,215-787-2080,801 West Girard Avenue,,Philadelphia,PA,19122,39.97137201,-75.14977598,Yes,Yes,Yes,Yes,Yes,,Unclear,"For bed availability, see: ""NPHS""",False,False,,,,,,,Yes,Yes,Unclear,Unclear,No,No,No,Unclear,Yes,Unclear,No,Yes,No,No,Unclear,Yes,Yes,Yes,Yes,Yes,False,,[_] Compare NPHS details?,
26,,,1020,,,100036,ba_weekly,Nuestra Clínica Residential,Spanish American Civic Association,,https://sacapa.org/human-services/nuestra-clinica/,,717-397-6267,717-431-1435,,50 East New Street,,Lancaster,PA,17602,40.04891098,-76.30599197,,,,,Unclear,,Yes,"Men only | For bed availability, see: ""Nuestra Clinica Residencial""",,,,False,,False,,,,Yes,,,,,,Yes,,,,,,,,,Yes,,No,Yes,False,,,
27,,,1021,,,,ba_weekly,Penn Medicine,Presbyterian Medical Center,Inpatient Substance Use Treatment,https://www.med.upenn.edu/recovery/,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/penn-presbyterian-medical-center,215-662-8283 (admission referrals from providers),215-662-8884,215-662-8747,51 North 39th Street,"Wright Saunders Building, 4th Floor",Philadelphia,PA,19104,39.95886701,-75.19879796,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Presbyterian/Wright4""",,,,False,,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
28,,,1022,,,100038,ba_weekly,"Re-Enter, Inc.",,,https://philadelphia.pa.networkofcare.org/mh/services/agency.aspx?pid=REENTERINCemclasscbhPhillyCBHem_209_2_0,,215-222-2770 x106 (24 Hours),,,3331 Powelton Avenue,,Philadelphia,PA,19104,39.96048702,-75.19076701,,,,,Unclear,,Yes,"Men only | For bed availability, see: ""Re-Enter""",,,,False,,False,,,,Yes,,,,,,,,,,,,,,,,,No,Yes,False,Data needs review,"Website has just blank page ""Coming soon""",
29,,,1023,,,100002,ba_weekly,CATCH (Citizens Acting Together Can Help),River's Bend Addiction Treatment Unit,,https://catchinc.com/services/drug-alchohol/riversbend-addiction-treatment-unit/,,215-735-7435,215-755-6112,,2401 Penrose Avenue,2nd Floor,Philadelphia,PA,19145,39.90916199,-75.18831103,,,,,Unclear,,Yes,"For bed availability, see: ""Riversbend""",,,,False,,False,,,,,,,,,,Yes,,,,,,,,,,,,,False,,,
30,100100,,1024,100020,,,ba_weekly,"Self Help Movement, Inc.",,,https://selfhelpmovement.org/,,215-677-7778,215-915-0002,,2600 Southampton Road,,Philadelphia,PA,19116,40.11983905,-74.99525677,Yes,Yes,No,Unclear,Yes,,Yes,"Men only | For bed availability, see: ""Self Help Movement Inc""",False,False,,False,,,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,False,,,
31,,,1025,100148,,,ba_weekly,Valley Forge Medical Center and Hospital,Avenues Recovery,,https://vfmc.net/,,610-539-8500,,,1033 West Germantown Pike,,Norristown,PA,19403,40.15822601,-75.36806798,,,,Yes,Yes,,Yes,"For bed availability, see: ""Valley Forge""",,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
32,100066,,1026,,,,ba_weekly,Northeast Treatment Centers (NET),Wharton Residential Center,,http://netcenters.org/,,215-451-7000,215-288-5490,215-289-3350,2205 Bridge Street,,Philadelphia,PA,19137,40.01062899,-75.06910503,Yes,Yes,Yes,Yes,Yes,,Yes,"Men only | For bed availability, see: ""Wharton Center""",False,,,False,,,,,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,False,,,
33,100067,100024,,100011,,,dbhids_else,Northeast Treatment Centers,NET Steps,,http://netcenters.org/,,215-831-6039,215-743-6150 x6024,,2205 Bridge Street,,Philadelphia,PA,19137,40.01062899,-75.06910503,Yes,Yes,Yes,Yes,Yes,,No,,False,False,False,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,False,,,
34,,,1027,,,100043,ba_monthly,Journey of Hope Project,,,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,https://www.journeyofhopeproject.net/,,,,[No address or phone identified: see website for locations],,Philadelphia,PA,,39.97137201,-75.14977598,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
35,,,1027,,,100044,ba_monthly,Journey of Hope Project,WomanSpace Philadelphia,,https://www.rhd.org/program/womanspace-philadelphia/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-844-2400,,,6400 Germantown Avenue,,Philadelphia,PA,19119,40.045808,-75.18252902,,,,,Unclear,,Yes,"Women only | For bed availability, see: ""Journey of Hope Project""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,Yes,No,False,,,
36,,,1027,,,100045,ba_monthly,Journey of Hope Project,Morris Home,,https://www.rhd.org/morrishome/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-729-3045,,,5037 Woodland Avenue,,Philadelphia,PA,19143,39.93940599,-75.21516396,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
37,,,1027,,,100046,ba_monthly,Journey of Hope Project,RHD New Start II (3C),,https://www.rhd.org/program/new-start-ii-at-jackson-street/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-537-8236,,,5000 Jackson Street,,Philadelphia,PA,19124,40.01556601,-75.07419997,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
38,,,1027,,,100047,ba_monthly,Journey of Hope Project,RHD New Start I,,https://www.rhd.org/program/new-start-i/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-228-2323,,,3653 North 15th Street,,Philadelphia,PA,19140,40.00921199,-75.15270303,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
39,,100042,,,,,dbhids_assessment,Northeast Treatment Centers,NET Access Point,,http://netcenters.org/,,844-533-8200,215-408-4987,,499 North 5th Street,Suite B,Philadelphia,PA,19123,39.96048776,-75.14671186,Yes,Yes,No,,Yes,Yes,,Offers assessment,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
40,,100043,,,,100048,dbhids_assessment,Friends Hospital,,,https://friendshospital.com/,,215-831-2600,800-889-0548,215-831-4600,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,40.02570799,-75.10244002,Yes,No,No,No,Yes,Yes,,Offers assessment,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
41,,100044,,,,100049,dbhids_assessment,Einstein Medical Center Philadelphia,,,https://www.einstein.edu/einstein-medical-center-philadelphia,,215-951-8300,215-456-7890,,5501 Old York Road,,Philadelphia,PA,19141,40.03739899,-75.14355996,Yes,No,No,No,Yes,Yes,,Offers assessment,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
42,,100045,,,,100050,dbhids_assessment,Penn Medicine,Hall Mercer Community Mental Health Assessment Center,,https://www.med.upenn.edu/recovery/,,215-829-5249 (open 24 hours),215-829-5433,,245 South 8th Street,,Philadelphia,PA,19106,39.94681899,-75.15424798,Unclear,No,No,,Unclear,Yes,,Offers assessment,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
43,,100046,,,,100051,dbhids_assessment,Temple Health,Temple University Hospital - Episcopal Campus,Crisis Response Center,https://www.templehealth.org/services/psychiatry/crisis-response-center,https://www.templehealth.org/locations/episcopal-campus-tuh,215-707-2577,215-707-1200,,100 East Lehigh Avenue,,Philadelphia,PA,19125,39.98999999,-75.12924501,Yes,No,No,No,Yes,Yes,,Offers assessment,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
44,,100047,,,,100052,dbhids_assessment,Philadelphia Children's Crisis Response Center,,,https://www.philachildrenscrc.com/,,215-878-2600,877-287-4620,,3300 Henry Avenue,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,40.01177098,-75.18455996,No,No,No,,Unclear,Yes,,Offers assessment,,,False,,,False,,,,,,,,,,,,,,,,Yes,,,,,,,False,,,
45,100047,"[100028,100048]",,,100048,,dbhids_assessment,PHMC,Pathways to Recovery,,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,,215-731-2402,215-731-2404,215-985-2573,2301 East Allegheny Avenue,2nd Floor,Philadelphia,PA,19134,39.98999798,-75.10601599,Yes,Yes,Unclear,No,Yes,Yes,,Offers assessment,False,,False,,False,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
46,100004,100001,,100001,,,dbhids_else,AMHA,"Addiction Medicine and Health Advocates, Inc.",,https://www.amhainc.org/,,215-923-4202,215-923-4202 x101,,928 Market Street,,Philadelphia,PA,19107,39.95140098,-75.1560535,No,No,Yes,Yes,Yes,,,,False,False,False,,,,,,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,False,,,
47,100053,100002,,,,100053,dbhids_else,Asociación Puertorriqueños en Marcha (APM),,,https://apmphila.org/how-we-help/health/,,267-296-7220,267-296-7200,267-296-7223,4301 Rising Sun Avenue,,Philadelphia,PA,19140,40.015901,-75.12910001,Yes,No,No,No,Yes,,,,False,,False,,,False,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
48,100112,100003,,,,,dbhids_else,Casa de Consejeria y Salud Integral,,,https://www.casacares.net/,,215-634-3259 x117,215-634-3259,800-273-8255 (mental health crisis hotline),213 West Allegheny Avenue,,Philadelphia,PA,19133,39.999377,-75.13368499,Unclear,No,No,No,Unclear,,,,False,,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,False,,,
49,100005,100004,,,,,dbhids_else,PHMC,CHANCES,,https://www.phmc.org/site/32-misc/shared-programs/119-chances,,215-923-0218 x5231,215-923-0218 x5228,215-923-0751,1200 Callowhill Street,Suite 102,Philadelphia,PA,19123,39.95904123,-75.1583643,Yes,Unclear,No,No,Yes,,,,False,,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,False,,,
50,,100032,,,100045,,dbhids_coe,PHMC,Care Clinic,,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,,267-398-0247,215-825-8220,215-787-9617,1200 Callowhill Street,Suite 101,Philadelphia,PA,19123,39.95904123,-75.1583643,Yes,Yes,No,No,Yes,,,,,,False,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,,False,,,
51,,100005,,,,,dbhids_else,COMHAR,The Welcome Center,,https://www.comhar.org/,,215-427-5800,267-861-4382,,2055 East Allegheny Avenue,,Philadelphia,PA,19134,39.99300201,-75.10982297,Yes,No,No,No,Yes,,,,,,False,,,,,,,,,,,No,Yes,,,Yes,,,,,,,Yes,,,,False,,,
52,,100006,,,,,dbhids_else,COMHAR,Latino Treatment Program,,https://www.comhar.org/latino-treatment-program,,215-739-2669,267-861-4382,,2600 North American Street,,Philadelphia,PA,19133,39.99021499,-75.13687397,Yes,No,No,No,Yes,,,,,,False,,,,,,,,,,,No,Yes,,,Yes,,,,,,,Yes,,,,False,,,
53,100024,100007,,100007,,,dbhids_else,"The Consortium, Inc.",Drug Abuse Rehabilitation Program,,https://consortiuminc.org/addiction-services/,,215-596-8000 x1203,215-596-8000 x1252,,451 South University Avenue,,Philadelphia,PA,19104,39.94826101,-75.197984,Yes,Yes,Unclear,Yes,Yes,,,[_] Reconcile DBHIDS/SAMHSA for buprenorphine no/yes and methadone yes/no,False,False,False,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Unclear,No,Yes,Yes,False,,,
54,100051,100008,,,,,dbhids_else,Drexel Medicine,Caring Together Clinic,Addictions and Mental Health Program for Women,https://drexelmedicine.org/patient-services/the-caring-together-program/,,215-967-2130,,,4700 Wissahickon Avenue,"Building C, Suite 102",Philadelphia,PA,19144,40.01538098,-75.174055,Yes,Yes,No,No,Yes,,,Women only,False,,False,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,False,,,
55,100056,100011,,,,,dbhids_else,GPASS SAFE,Greater Philadelphia Asian Social Services Center,,https://www.gpasspa.org/,,215-456-1662,,,4943 North 5th Street,,Philadelphia,PA,19120,40.02692601,-75.13228404,Yes,Yes,No,No,Yes,,,[_] Reconcile DBHIDS/SAMHSA for buprenorphine no/yes,False,,False,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
56,100104,100013,,100012,,,dbhids_else,JEVS Human Services,ACT I (Achievement Through Counseling and Treatment),,https://www.jevshumanservices.org/act/,,215-276-8400 x2601,215-236-0100,,5820 Old York Road,,Philadelphia,PA,19141,40.04204101,-75.14472698,No,No,Yes,Yes,Yes,,,,False,False,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,False,,[_] Why was listing removed from SAMHSA in 2021q1/q2?,
57,100102,100014,,100002,,,dbhids_else,JEVS Human Services,ACT II (Achievement Through Counseling and Treatment),,https://www.jevshumanservices.org/act/,,215-236-0100,215-236-0100 x2653,215-276-8400 x2622,1745 North 4th Street,,Philadelphia,PA,19122,39.97752701,-75.141207,Unclear,No,Yes,Yes,Yes,,,,False,False,False,,,,,,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,False,,[_] Why was listing removed from SAMHSA in 2021q1/q2?,
58,100013,100015,,100016,,,dbhids_else,John F. Kennedy Behavioral Health Center (JFK),Drug Treatment Clinic,,http://www.jfkbhc.org/,,215-235-5520,,,907 North Broad Street,,Philadelphia,PA,19123,39.970435,-75.15917604,Unclear,Unclear,Yes,Yes,Yes,,,[_] Reconcile DBHIDS/SAMHSA for buprenorphine no/yes and naltrexone no/yes,False,False,False,,,,,,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
59,100001,100016,,,,,dbhids_else,John F. Kennedy Behavioral Health Center (JFK),Main Clinic,,http://www.jfkbhc.org/,,215-568-0860 x3352,,,112 North Broad Street,,Philadelphia,PA,19102,39.95497101,-75.16356899,No,Yes,No,No,Yes,,,[_] Reconcile DBHIDS/SAMHSA for intensive outpatient no/yes,False,,False,,,,,,No,Yes,Yes,No,Yes,Unclear,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,False,,,
60,100043,100018,,100008,,,dbhids_else,Merakey Parkside Recovery,,,https://www.merakey.org/services/addiction-recovery,,215-879-6116 x229,215-879-6116,866-647-0007,5000 Parkside Avenue,,Philadelphia,PA,19131,39.979682,-75.21979103,Yes,Yes,Yes,Yes,Yes,,,,False,False,False,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,False,,,
