oid,site_id,website1,website2,phone1,phone2,street1,street2,city,state_usa,zipcode,name1,name2,name3,id_hfp_fqhc,id_samhsa_ftloc,id_samhsa_otp,id_dbhids_tad,archival_only,why_hidden,data_review,latitude,longitude,mat_avail,bu,mu,nu,fqhc,prim_care,telehealth
15,S00015,https://dvch.org/maria-de-los-santos-health-center/,,215-291-2500,,401 West Allegheny Ave,,Philadelphia,PA,19133,"Delaware Valley Community Health, Inc. (DVCH)",Maria de los Santos Health Center,,15,NULL,NULL,NULL,False,,,40.00052,-75.1381,,,,,,,
16,S00016,https://dvch.org/maria-de-los-santos-womens-health/,,215-207-0522,,400 West Allegheny Ave,Unit B-5,Philadelphia,PA,19133,"Delaware Valley Community Health, Inc.",Maria de los Santos Women’s Health Center,,16,NULL,NULL,NULL,False,,,39.99909,-75.1369,,,,,,,
17,S00017,https://dvch.org/norristown-regional-health/,,610-278-7787,,1401 DeKalb St,,Philadelphia,PA,19401,"Delaware Valley Community Health, Inc.",Norristown Regional Health Center,,17,NULL,NULL,NULL,False,,,40.12376,-75.3338,,,,,,,
18,S00018,https://dvch.org/parkview-health-center/,,215-537-7695,,841 East Hunting Park Ave,Suite 201,Philadelphia,PA,19124,"Delaware Valley Community Health, Inc. (DVCH)",Parkview Health Center,,18,NULL,NULL,NULL,False,,,40.01208,-75.1103,,,,,,,
19,S00019,https://esperanzahealth.com/,,215-302-3150,,4417 North 6th St,,Philadelphia,PA,19140,Esperanza Health Center,Main Admin Office,,19,NULL,NULL,NULL,True,Not a practice site,,40.01893,-75.1365,,,,,,,
20,S00020,https://esperanzahealth.com/,,215-302-3600,215-302-3150,4417 North 6th St,,Philadelphia,PA,19140,Esperanza Health Center,Hunting Park Site,,20,NULL,NULL,NULL,False,,,40.01893,-75.1365,,,,,,,
21,S00021,https://esperanzahealth.com/patients/our-locations/,,215-302-3600,215-831-1100,861 East Allegheny Ave,,Philadelphia,PA,19134,Esperanza Health Center,Kensington Site,,21,NULL,NULL,NULL,False,,,39.99679,-75.1135,,,,,,,
22,S00022,https://esperanzahealth.com/patients/our-locations/,,215-302-3600,215-221-6633,2940 North 5th St,,Philadelphia,PA,19133,Esperanza Health Center,Fifth Street Site,,22,NULL,NULL,NULL,False,,,39.99617,-75.1395,,,,,,,
23,S00023,https://esperanzahealth.com/,,215-302-3600,,3156 Kensington Ave,,Philadelphia,PA,19134,Esperanza Health Center,Kensington & Allegheny,,23,NULL,NULL,NULL,True,Site closed,Moved to 861 East Allegheny Ave in 2020,39.99611,-75.1142,,,,,,,
24,S00024,https://www.fpcn.com/,,215-298-0405,,4700 Wissahickon Ave,"Building D, Suite 118",Philadelphia,PA,19144,The Family Practice & Counseling Network (FPCN),Main Admin Office,,24,NULL,NULL,NULL,True,Not a practice site,,40.01535,-75.1738,,,,,,,
25,S00025,https://www.fpcn.com/abbottsford-falls/,,215-843-9720,,4700 Wissahickon Ave,"Building D, Suite 119",Philadelphia,PA,19144,The Family Practice & Counseling Network (FPCN),Abbotsford-Falls Health Center,,25,NULL,NULL,NULL,False,,,40.01535,-75.1738,,,,,,,
26,S00026,https://www.fpcn.com/stephen-and-sandra-sheller-11th-street-family-health-services-of-drexel-university/,,215-769-1100,,850 North 11th St,,Philadelphia,PA,19123,The Family Practice & Counseling Network (FPCN),Stephen and Sandra Sheller 11th Street Family Health Services of Drexel University,,26,NULL,NULL,NULL,False,,,39.96801,-75.1552,,,,,,,
27,S00027,https://www.fpcn.com/Fast-Family-Care/,,267-597-3610,,2800 Fox St,Unit A,Philadelphia,PA,19129,The Family Practice & Counseling Network (FPCN),Fast Family Care at Shoprite,,27,NULL,NULL,NULL,False,,,40.01161,-75.1733,,,,,,,
28,S00028,https://www.fpcn.com/health-annex/,,215-727-4721,,6120B Woodland Ave,2nd Floor,Philadelphia,PA,19143,The Family Practice & Counseling Network (FPCN),Health Annex,,28,NULL,NULL,NULL,False,,March 2021: Building closed for renovations; phone for appointments elsewhere,39.92891,-75.2295,,,,,,,
29,S00029,https://www.fpcn.com/annex-west-health-center/,,267-350-5150,,3901 Market St,,Philadelphia,PA,19104,The Family Practice & Counseling Network (FPCN),Annex West Health Center,,29,NULL,NULL,NULL,False,,,39.957,-75.1996,,,,,,,
30,S00030,https://www.gphainc.org/,,215-925-2400,,1401 South 31st St,,Philadelphia,PA,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Main Admin Office,,30,NULL,NULL,NULL,True,Not a practice site,,39.93587,-75.1951,,,,,,,
31,S00031,https://www.gphainc.org/locations/find-a-location-near-you/#al-assist-behavioral-healthcare-center,,215-339-1079,215-339-1070,1401 South 4th St,,Philadelphia,PA,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Al-Assist Behavioral Healthcare Center,,31,1016,NULL,NULL,False,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-952-6960,39.93071,-75.1515,,,,,,,
32,S00032,https://www.gphainc.org/locations/find-a-location-near-you/#carl-moore-health-center,,215-755-7700,215-789-6931,1401 South 31st St,,Philadelphia,PA,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Carl Moore Health Center,,32,NULL,NULL,NULL,False,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,39.93587,-75.1951,,,,,,,
33,S00033,https://www.gphainc.org/locations/find-a-location-near-you/#chinatown-medical-services,,215-627-8000,267-519-0271,432 North 6th St,,Philadelphia,PA,19123,"Greater Philadelphia Health Action, Inc. (GPHA)",Chinatown Medical Services,,33,NULL,NULL,NULL,False,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,39.9592,-75.1487,,,,,,,
34,S00034,https://www.gphainc.org/locations/find-a-location-near-you/#frankford-avenue-health-center,,215-744-1302,215-831-9882,4500-4510 Frankford Ave,,Philadelphia,PA,19124,"Greater Philadelphia Health Action, Inc. (GPHA)",Frankford Avenue Health Center,,34,NULL,NULL,NULL,False,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-743-4106,40.01432,-75.0863,,,,,,,
35,S00035,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-dental-and-behavioral-healthcare,,888-296-4742,215-724-4700,5501 Woodland Ave,,Philadelphia,PA,19143,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Dental and Behavioral Health",,35,NULL,NULL,NULL,False,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-729-3912,39.93547,-75.2208,,,,,,,
36,S00036,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-medical-suite-at-temple-university-kornberg-school-of-dentistry,,215--226-3789,,3223 North Broad St,"1st Floor, Suite 136",Philadelphia,PA,19140,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Medical Suite at Temple University Kornberg School of Dentistry",,36,NULL,NULL,NULL,False,,,40.00228,-75.1527,,,,,,,
37,S00037,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-spectrum-behavioral-services,,484-472-7430,,1489 Baltimore Pike,"Building 300, Suite 300",Springfield,PA,19064,"Greater Philadelphia Health Action, Inc. (GPHA)",GPHA Spectrum Behavioral Services,,37,NULL,NULL,NULL,False,,,39.91184,-75.3582,,,,,,,
38,S00038,https://www.gphainc.org/locations/find-a-location-near-you/#hunting-park-health-center,,215-228-9300,215-221-6255,1999 West Hunting Park Ave,,Philadelphia,PA,19140,"Greater Philadelphia Health Action, Inc. (GPHA)",Hunting Park Health Center,,38,NULL,NULL,NULL,False,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,40.01272,-75.1609,,,,,,,
39,S00039,https://www.gphainc.org/locations/find-a-location-near-you/#snyder-avenue-dental-center,,215-334-4900,,640 Snyder Ave,,Philadelphia,PA,19148,"Greater Philadelphia Health Action, Inc. (GPHA)",Snyder Avenue Dental Center,,39,NULL,NULL,NULL,True,Other,"Dental care only (no Medical, no Behavioral Health, no Pharmacy)",39.92271,-75.158,,,,,,,
40,S00040,https://www.gphainc.org/locations/find-a-location-near-you/#southeast-health-center,,215-339-5100,215-339-4006,800 Washington Ave,,Philadelphia,PA,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Southeast Health Center,,40,NULL,NULL,NULL,False,,phone1 = Medical & Behavioral Health; phone2 = Medical Dispensary,39.93578,-75.1572,,,,,,,
41,S00041,https://www.gphainc.org/locations/find-a-location-near-you/#woodland-avenue-health-center,,215-726-9807,215-730-2828,5000 Woodland Ave,,Philadelphia,PA,19143,"Greater Philadelphia Health Action, Inc. (GPHA)",Woodland Avenue Health Center,,41,NULL,NULL,NULL,False,,phone1 = Medical & Behavioral; phone2 = Medical Dispensary,39.9388,-75.2139,,,,,,,
42,S00042,https://www.phmc.org/,,215-985-2500,,1500 Market St,Suite 1500,Philadelphia,PA,19102,Public Health Management Corporation (PHMC),Main Admin Office,,42,NULL,NULL,NULL,True,Not a practice site,,39.95244,-75.1652,,,,,,,
43,S00043,https://www.phmc.org/site/programs/health-care-centers/congreso-health-center,,267-765-2272,,412 West Lehigh Ave,,Philadelphia,PA,19133,Public Health Management Corporation (PHMC),Congresso Health Center,,43,NULL,NULL,NULL,False,,,39.99159,-75.1397,,,,,,,
44,S00044,https://www.phmc.org/site/programs/health-care-centers/phmc-health-connection,,215-765-6690,,1900 North 9th St,,Philadelphia,PA,19122,Public Health Management Corporation (PHMC),Health Connection,,44,NULL,NULL,NULL,False,,,39.98143,-75.149,,,,,,,
45,S00045,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,,215-825-8220,,1200 Callowhill St,Suite 101,Philadelphia,PA,19123,Public Health Management Corporation (PHMC),Care Clinic,,45,32,NULL,"[4, 31, 32]",False,,"address_suppl ""Suite 101"" from PHMC website; some sources list ""Suite 102""",39.95904,-75.1584,,,,,,,
46,S00046,https://www.phmc.org/site/programs/health-care-centers/mary-howard,,215-592-4500,,125 South 9th St,,Philadelphia,PA,19107,Public Health Management Corporation (PHMC),Mary Howard Health Center,,46,NULL,NULL,NULL,False,,,39.94885,-75.1554,,,,,,,
47,S00047,https://www.phmc.org/site/programs/health-care-centers/rising-sun,,215-279-9666,,5675 North Front St,,Philadelphia,PA,19120,Public Health Management Corporation (PHMC),Rising Sun Health Center,,47,NULL,NULL,NULL,False,,,40.03641,-75.1207,,,,,,,
48,S00048,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,,215-731-2402,,2301 East Allegheny Ave,,Philadelphia,PA,19134,Public Health Management Corporation (PHMC),Pathways to Recovery,,48,"[12, 23]",NULL,"[28, 48]",False,,,39.99,-75.1061,,,,,,,
49,S00049,https://fight.org/,,215-985-4448,,1233 Locust St,3rd Floor,Philadelphia,PA,19107,Philadelphia FIGHT,Main Admin Office,,49,NULL,NULL,NULL,True,Not a practice site,,39.94793,-75.1617,,,,,,,
50,S00050,https://fight.org/programs/lax-center/,,215-790-1788,,1233 Locust St,4th Floor,Philadelphia,PA,19107,Philadelphia FIGHT,Jonathan Lax Treatment Center,,50,NULL,NULL,NULL,False,,,39.94793,-75.1617,,,,,,,
51,S00051,https://fight.org/programs/john-bell-center/,,267-725-0252,,1207 Chestnut St,3rd Floor,Philadelphia,PA,19107,Philadelphia FIGHT,John Bell Health Center,,51,NULL,NULL,NULL,False,,,39.95073,-75.1605,,,,,,,
52,S00052,https://fight.org/programs/broad-street-ministry/,,215-525-8681,,315 South Broad St,,Philadelphia,PA,19107,Philadelphia FIGHT,Community Health Centers Clinic at Broad Street Ministry,,52,NULL,NULL,NULL,False,,Added from program website based on finding provider with buprenorphine waiver dated 2020-11-25 (30 patients),39.94635,-75.1648,,,,,,,
53,S00053,https://pathwaystohousingpa.org/,,215-390-1500,,5201 Old York Rd,4th Floor,Philadelphia,PA,19141,Pathways,Pathways to Housing PA,,53,NULL,NULL,27,False,,"address_suppl changed from ""Suite 108"" to ""4th Floor"" to match program website (c) 2020",40.03233,-75.145,,,,,,,
54,S00054,https://projecthome.org/stephen-klein-wellness-center,,215-320-6187,,2144 Cecil B. Moore Ave,,Philadelphia,PA,19121,Project HOME,Stephen Klein Wellness Center,,54,NULL,NULL,34,False,,,39.98016,-75.1708,,,,,,,
55,S00055,https://projecthome.org/hub-hope,,215-309-5225,,1401 Arch St,Lower Level ,Philadelphia,PA,19102,Project HOME,Hub of Hope,,55,NULL,NULL,NULL,False,,,39.95469,-75.1634,,,,,,,
56,S00056,https://qchc.org/facilities-1,,215-227-0300,,2501 West Lehigh Ave,,Philadelphia,PA,19132,"Quality Community Health Care, Inc. (QCHC)",QCHC Family Health Center,,56,NULL,NULL,NULL,False,,,39.99647,-75.1725,,,,,,,
57,S00057,https://qchc.org/facilities-1,,215-457-6902,,1300 West Loudon St,,Philadelphia,PA,19141,"Quality Community Health Care, Inc. (QCHC)",Cooke Family Health Center,,57,NULL,NULL,NULL,False,,,40.02582,-75.1454,,,,,,,
58,S00058,https://qchc.org/facilities-1,,215-765-9501,,1800 West Oxford St,,Philadelphia,PA,19121,"Quality Community Health Care, Inc. (QCHC)",Meade Family Health Center,,58,NULL,NULL,NULL,False,,,39.97806,-75.1647,,,,,,,
59,S00059,http://www.sayrehealth.org/,,215-474-4444,,5800 Walnut St,227 South 59th St,Philadelphia,PA,19139,Sayre Health Center,"Dr. Bernett L. Johnson, Jr. Sayre Health Center",,59,NULL,NULL,NULL,False,,address_suppl Added from Sayre website (map shows intersection with listed street_address),39.95796,-75.2378,,,,,,,
60,S00060,https://www.spectrumhs.org/,,215-471-2750,,5201 Haverford Ave,,Philadelphia,PA,19139,"Spectrum Health Services, Inc.",Main Admin Office,,60,NULL,NULL,NULL,True,Not a practice site,,39.9654,-75.225,,,,,,,
61,S00061,https://www.spectrumhs.org/locations/spectrum-community-health-center-schc/,,215-471-2761,,5201 Haverford Ave,,Philadelphia,PA,19139,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),,61,NULL,NULL,NULL,False,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),39.9654,-75.225,,,,,,,
62,S00062,https://www.spectrumhs.org/locations/broad-street-health-center-bshc/,,215-471-2761,,1415 North Broad St,,Philadelphia,PA,19122,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),,62,NULL,NULL,NULL,False,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),39.97499,-75.1586,,,,,,,
63,S00063,https://www.spectrumhs.org/locations/reed-street-health-center-rshc/,,215-471-2761,,1325 South 33rd St,,Philadelphia,PA,19146,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),,63,NULL,NULL,NULL,False,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),39.93705,-75.1978,,,,,,,
64,S00064,https://apmphila.org/services/health-services/,,267-296-7220,267-296-7222,4301 Rising Sun Ave,,Philadelphia,PA,19140,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [1 of 3],,NULL,58,NULL,2,False,,,40.01593,-75.1295,,,,,,,
65,S00065,https://apmphila.org/services/health-services/,,215-259-3373,215-259-3358,2921 North 5th St,,Philadelphia,PA,19133,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [3 of 3],,NULL,57,NULL,NULL,False,,,39.99567,-75.1391,,,,,,,
66,S00066,https://apmphila.org/services/health-services/,,267-798-7560,,112 East Allegheny Ave,,Philadelphia,PA,19134,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [2 of 3],,NULL,NULL,NULL,NULL,True,Data needs review,"Added from APM website: Does location offer MAT? [[systems data may want separate record for Admin office: 1900 North 9th St, 19122, phone = 267-296-7200]]",39.99817,-75.1288,,,,,,,
67,S00067,https://www.casacares.net/,,215-634-3259,800-273-8255,213 West Allegheny Ave,,Philadelphia,PA,19133,"CASA de Consejeria y Salud Integral, Inc. (CASA)",Casa de Consejeria,,NULL,1019,NULL,3,False,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",39.99937,-75.1337,,,,,,,
68,S00068,https://www.casacares.net/ContactUs/tabid/108/Default.aspx,,215-501-7629,,616 West Lehigh Ave,,Philadelphia,PA,19133,"CASA de Consejeria y Salud Integral, Inc. (CASA)",Casa de Consejeria,,NULL,63,NULL,NULL,False,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",39.99219,-75.1428,,,,,,,
69,S00069,https://catchinc.com/mission/team/type/psychiatric-team/,,215-735-7435,215-755-6112,2401 Penrose Ave,2nd Floor,Philadelphia,PA,19145,CATCH (Citizens Acting Together Can Help),River’s Bend Addiction Treatment,,NULL,NULL,NULL,NULL,True,Data needs review,"[_] Contact https://catchinc.com/services about whether/which location(s) offer MAT (Elton Smith has buprenorphine waiver); replaced ""1400 Reed St, 19146"" with potentially more relevant option from CATCH website",39.90895,-75.188,,,,,,,
70,S00070,http://www.jfkbhc.org/,,215-235-5520,,907 North Broad St,,Philadelphia,PA,19123,"Centralized Comprehensive Human Services, Inc.","John F. Kennedy Behavioral Health Center, Satellite Office",,NULL,7,16,15,False,,,39.97043,-75.1592,,,,,,,
71,S00071,http://www.jfkbhc.org/,,215-568-0860,,112 North Broad St,,Philadelphia,PA,19102,"Centralized Comprehensive Human Services, Inc.",John F. Kennedy Behavioral Health Center,,NULL,66,NULL,16,False,,,39.95498,-75.1635,,,,,,,
72,S00072,https://www.comhar.org/,,267-861-4382,,2055 East Allegheny Ave,,Philadelphia,PA,19134,COMHAR,COMHAR: The Welcome Center,,NULL,NULL,NULL,5,False,,phone1 = COMHAR Central Registration from https://www.comhar.org/mental-health-wellness,39.993,-75.1098,,,,,,,
73,S00073,https://www.comhar.org/latino-treatment-program,,215-739-2669,,2600 North American St,,Philadelphia,PA,19133,COMHAR,COMHAR: Latino Treatment Program,,NULL,NULL,NULL,6,False,,,39.99021,-75.1369,,,,,,,
74,S00074,https://drexel.edu/medicine/community-engagement/patient-care/the-caring-together-program/,,215-967-2130,,4700 Wissahickon Ave,"Building C, Suite 102",Philadelphia,PA,19144,Drexel University Medicine,The Caring Together Program,,NULL,11,NULL,8,False,,,40.01535,-75.1738,,,,,,,
75,S00075,https://drexel.edu/medicine/community-engagement/patient-care/partnership-comprehensive-care-practice/,,215-762-2530,,1427 Vine St,2nd Floor,Philadelphia,PA,19102,Drexel University Medicine,Partnership Comprehensive Care Practice,,NULL,NULL,NULL,NULL,False,,Also see https://towerhealth.org/locations/tower-health-medical-group-infectious-disease-philadelphia,39.95849,-75.1637,,,,,,,
76,S00076,https://towerhealth.org/locations/drexel-partnership,,215-762-6565,,1427 Vine St,6th Floor,Philadelphia,PA,19102,Tower Health,Drexel Partnership,,NULL,NULL,NULL,NULL,False,,,39.95849,-75.1637,,,,,,,
77,S00077,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-vine-street,,267-507-6581,,1427 Vine St,8th Floor,Philadelphia,PA,19102,Tower Health,Psychiatry - Vine Street,,NULL,NULL,NULL,NULL,False,,,39.95849,-75.1637,,,,,,,
78,S00078,https://towerhealth.org/locations/chestnut-hill-hospital,,215-248-8200,,8835 Germantown Ave,,Philadelphia,PA,19118,Tower Health,Chestnut Hill Hospital,,NULL,NULL,NULL,NULL,False,,,40.07969,-75.2124,,,,,,,
79,S00079,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,,215-248-8145,,8815 Germantown Ave,5th Floor,Philadelphia,PA,19118,Tower Health,Family Medicine Residency - Chestnut Hill,,NULL,NULL,NULL,NULL,False,,,40.07873,-75.2124,,,,,,,
80,S00080,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,,215-762-5145,,219 North Broad St,1st Floor,Philadelphia,PA,19107,Tower Health,Family Medicine - Broad Street,,NULL,NULL,NULL,NULL,False,,,39.9569,-75.1625,,,,,,,
81,S00081,https://www.einstein.edu/einstein-medical-center-philadelphia,,215-456-7890,,5501 Old York Rd,,Philadelphia,PA,19141,Einstein Healthcare Network,Einstein Medical Center,,NULL,NULL,NULL,44,False,,,40.03688,-75.1446,,,,,,,
82,S00082,https://www.gaudenzia.org/,,215-924-6322,,1300 East Tulpehocken St,,Philadelphia,PA,19138,Gaudenzia,New Image,,NULL,42,NULL,NULL,False,,,40.05689,-75.1642,,,,,,,
83,S00083,https://www.gaudenzia.org/,,215-849-7200,215-849-2813,39 East School House Lane,,Philadelphia,PA,19144,Gaudenzia,Outreach II / Recovery House,,NULL,33,NULL,NULL,False,,"[_] Does this address need separate records for distinct programs? | Gaudenzia website has ""School House"" for street_address (matches Google Maps) vs. ""Schoolhouse"" in SAMHSA FT Loc",40.03519,-75.1722,,,,,,,
84,S00084,https://www.gaudenzia.org/,,,,5401 Wayne Ave,,Philadelphia,PA,19144,Gaudenzia,Re-Entry House,,NULL,31,NULL,NULL,False,,,40.02961,-75.1746,,,,,,,
85,S00085,https://www.gaudenzia.org/,,215-423-6766,,3200 Henry Ave,,Philadelphia,PA,19129,Gaudenzia,Gaudenzia Diagnostic & Rehabilitation Center (DRC),,NULL,26,NULL,10,False,,,40.0096,-75.1812,,,,,,,
86,S00086,https://www.gaudenzia.org/,,215-228-7595,215-228-0644,1834 West Tioga St,,Philadelphia,PA,19140,Gaudenzia,Gaudenzia WINNER Program / Philly House,,NULL,39,NULL,NULL,False,,[_] Does this address need separate records for distinct programs?,40.00694,-75.1597,,,,,,,
87,S00087,https://www.gaudenzia.org/,,215-223-9460,,3025 North Broad St,,Philadelphia,PA,19132,Gaudenzia,Broad Street R.I.N.T.,,NULL,67,NULL,NULL,False,,"Gaudenzia website has ""3025-21"" for street_address",39.99927,-75.1531,,,,,,,
88,S00088,https://www.gaudenzia.org/,,215-985-1200,215-985-2143,1516 Washington Ave,,Philadelphia,PA,19146,Gaudenzia,Washington House / Joy of Living,,NULL,62,NULL,NULL,False,,"[_] Does this address need two separate records? | Gaudenzia website has  street_address ""1515-1518"" for Washington House",39.93814,-75.1694,,,,,,,
89,S00089,https://www.gaudenzia.org/,,215-238-2163,,1306 Spring Garden St,2nd Floor,Philadelphia,PA,19123,Gaudenzia,Withdrawal and Referral Management Stablization Program (WARMS),,NULL,"[20, 1005]",NULL,"[9, 49]",False,,[_] This address almost surely needs multiple records (different programs on different floors),39.96194,-75.1596,,,,,,,
180,S00180,https://www.gaudenzia.org/,,833-647-0719,,106 West Main St,,Philadelphia,PA,19401,Gaudenzia,Main Admin Office,,,,,,True,Not a practice site,,40.11486,-75.3462,,,,,,,
90,S00090,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,,215-955-3792,800-533-3669,1239 Spring Garden St,,Philadelphia,PA,19123,Jefferson University Hospitals,My Sister’s Place (MSP),,NULL,50,NULL,NULL,False,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,39.96228,-75.1591,,,,,,,
91,S00091,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,,215-735-5979,,1021 South 21st St,"1st Floor, NE Corner, 21st St & Washington Ave",Philadelphia,PA,19146,Jefferson University Hospitals,Narcotic Addiction Rehabilitation Program (NARP),,NULL,19,4,37,False,,See also https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,39.94001,-75.178,,,,,,,
92,S00092,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,,215-503-6337,,1015 Walnut St,Suite 401,Philadelphia,PA,19107,Jefferson University Hospitals,Thomas Jefferson University Hospital,,NULL,NULL,NULL,NULL,False,,"Why do multiple buprenorphine providers list this address, when site does not appear to offer MAT? https://www.jefferson.edu/university/skmc/departments/family-medicine/fellowships/Hospice-Palliative/faculty.html",39.94879,-75.1579,,,,,,,
