ref_id,site_id,name_short,name_system,name_site,website,admin_office,street_address,address_suppl,city,state_usa,zip5,phone1,phone2,why_hidden,data_review,date_firstfind,date_lastfind
20,S00020,Esperanza: Hunting Park,Esperanza Health Center,Hunting Park Site,http://esperanzahealth.com/,,4417 North 6th St,,Philadelphia,PA,19140,215-302-3600,,,,3/1/2020,2/23/2021
21,S00021,Esperanza: Kensington,Esperanza Health Center,Kensington Site,https://esperanzahealth.com/patients/our-locations/,False,861 East Allegheny Ave,,Philadelphia,PA,19134,215-302-3600,215-831-1100,,"Updated: street_address changed from ""3156 Kensington Ave"" to ""861 East Allegheny Ave"" (same ZIP) in mid-2020 -- separate listing added",3/1/2020,2/23/2021
22,S00022,Esperanza: 5th St,Esperanza Health Center,Fifth Street Site,http://esperanzahealth.com/,False,2940 North 5th St,,Philadelphia,PA,19133,215-302-3600,215-221-6633,,Unclear: current accuracy of phone2 (2021),3/1/2020,2/23/2021
23,S00023,Esperanza: K & A,Esperanza Health Center,Kensington & Allegheny,http://esperanzahealth.com/,False,3156 Kensington Ave,,Philadelphia,PA,19134,215-831-1100,215-302-3600,Site closed,,3/1/2020,6/30/2020
24,S00024,FPCN: Admin,The Family Practice & Counseling Network (FPCN),Main Admin Office,http://www.fpcn.com/,True,4700 Wissahickon Ave,"Building D, Suite 118",Philadelphia,PA,19144,215-298-0405,,,,2/23/2021,2/23/2021
25,S00025,FPCN: Abbottsford-Falls,The Family Practice & Counseling Network (FPCN),Abbotsford-Falls Health Center,http://www.fpcn.com/,,4700 Wissahickon Ave,"Building D, Suite 119",Philadelphia,PA,19144,215-843-9720,,,,3/1/2020,2/23/2021
26,S00026,FPCN: Sheller/Drexel,The Family Practice & Counseling Network (FPCN),Stephen and Sandra Sheller 11th Street Family Health Services of Drexel University,http://www.fpcn.com/,False,850 North 11th St,,Philadelphia,PA,19123,215-769-1100,,,,3/1/2020,2/23/2021
27,S00027,FPCN: Shoprite,The Family Practice & Counseling Network (FPCN),Fast Family Care at Shoprite,http://www.fpcn.com/,False,2800 Fox St,Unit A,Philadelphia,PA,19129,267-597-3610,,,,3/1/2020,2/23/2021
28,S00028,FPCN: Health Annex,The Family Practice & Counseling Network (FPCN),Health Annex,http://www.fpcn.com/,False,6120B Woodland Ave,2nd Floor,Philadelphia,PA,19143,215-727-4721,,,,3/1/2020,2/23/2021
29,S00029,FPCN: Annex West,The Family Practice & Counseling Network (FPCN),Annex West Health Center,http://www.fpcn.com/,False,3901 Market St,,Philadelphia,PA,19104,215-243-2800,,,,3/1/2020,2/23/2021
30,S00030,GPHA: Admin,"Greater Philadelphia Health Action, Inc. (GPHA)",Main Admin Office,http://www.gphainc.org/,True,1401 South 31st St,,Philadelphia,PA,19146,215-925-2400,,,,2/23/2021,2/23/2021
31,S00031,GPHA: 4th St MedSuite,"Greater Philadelphia Health Action, Inc. (GPHA)",Al-Assist Behavioral Healthcare Center,http://www.gphainc.org/,False,1401 South 4th St,,Philadelphia,PA,19147,215-339-1079,,,"Updated: name_site changed from ""4th Street Medical Suite"" (HFP) to ""Al-Assist Behavioral Healthcare Center"" (GPHA website, 2021)",3/1/2020,2/23/2021
32,S00032,GPHA: Carl Moore,"Greater Philadelphia Health Action, Inc. (GPHA)",Carl Moore Health Center,http://www.gphainc.org/,,1401 South 31st St,,Philadelphia,PA,19146,215-755-7700,,,,3/1/2020,2/23/2021
33,S00033,GPHA: Chinatown,"Greater Philadelphia Health Action, Inc. (GPHA)",Chinatown Medical Services,http://www.gphainc.org/,False,432 North 6th St,,Philadelphia,PA,19123,215-627-8000,,,,3/1/2020,2/23/2021
34,S00034,GPHA: Frankford Ave,"Greater Philadelphia Health Action, Inc. (GPHA)",Frankford Avenue Health Center,http://www.gphainc.org/,False,4500-4510 Frankford Ave,,Philadelphia,PA,19124,215-744-1302,,,,3/1/2020,2/23/2021
35,S00035,GPHA: Dental & Behavioral,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Dental and Behavioral Health",http://www.gphainc.org/,False,5501 Woodland Ave,,Philadelphia,PA,19143,215-724-4700,,,,3/1/2020,2/23/2021
36,S00036,GPHA: Temple Kornberg,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Medical Suite at Temple University Kornberg School of Dentistry",http://www.gphainc.org/,False,3223 North Broad St,"1st Floor, Suite 136",Philadelphia,PA,19140,215-226-3789,,,,3/1/2020,2/23/2021
37,S00037,GPHA: Spectrum Behavioral Services,"Greater Philadelphia Health Action, Inc. (GPHA)",GPHA Spectrum Behavioral Services,http://www.gphainc.org/,False,1489 Baltimore Pike,"Building 300, Suite 300",Springfield,PA,19064,484-472-7430,,,,3/1/2020,2/23/2021
38,S00038,GPHA: Hunting Park,"Greater Philadelphia Health Action, Inc. (GPHA)",Hunting Park Health Center,http://www.gphainc.org/,False,1999 West Hunting Park Ave,,Philadelphia,PA,19140,215-228-9300,,,,3/1/2020,2/23/2021
39,S00039,GPHA: Snyder Ave,"Greater Philadelphia Health Action, Inc. (GPHA)",Snyder Avenue Dental Center,http://www.gphainc.org/,False,640 Snyder Ave,,Philadelphia,PA,19148,215-334-4900,,,,3/1/2020,2/23/2021
40,S00040,GPHA: Southeast,"Greater Philadelphia Health Action, Inc. (GPHA)",Southeast Health Center,http://www.gphainc.org/,False,800 Washington Ave,,Philadelphia,PA,19147,215-339-5100,,,,3/1/2020,2/23/2021
41,S00041,GPHA: Woodland Ave,"Greater Philadelphia Health Action, Inc. (GPHA)",Woodland Avenue Health Center,http://www.gphainc.org/,False,5000 Woodland Ave,,Philadelphia,PA,19143,215-726-9807,,,,3/1/2020,2/23/2021
42,S00042,PHMC: Admin,Public Health Management Corporation (PHMC),Main Admin Office,http://www.phmc.org/,True,1500 Market St,Suite 1500,Philadelphia,PA,19102,215-985-2500,,,,2/23/2021,2/23/2021
43,S00043,PHMC: Congreso,Public Health Management Corporation (PHMC),Congresso Health Center,http://www.phmc.org/site/,False,412 West Lehigh Ave,,Philadelphia,PA,19133,267-765-2272,,,,3/1/2020,2/23/2021
44,S00044,PHMC: Health Connection,Public Health Management Corporation (PHMC),Health Connection,http://www.phmc.org/site/,False,1900 North 9th St,,Philadelphia,PA,19122,215-765-6690,,,,3/1/2020,2/23/2021
45,S00045,PHMC: Care Clinic,Public Health Management Corporation (PHMC),Care Clinic,http://www.phmc.org/site/,False,1200 Callowhill St,Suite 101,Philadelphia,PA,19123,215-825-8220,,,,3/1/2020,2/23/2021
46,S00046,PHMC: Mary Howard,Public Health Management Corporation (PHMC),Mary Howard Health Center,http://www.phmc.org/site/,False,125 South 9th St,,Philadelphia,PA,19107,215-592-4500,,,,3/1/2020,2/23/2021
47,S00047,PHMC: Rising Sun,Public Health Management Corporation (PHMC),Rising Sun Health Center,http://www.phmc.org/site/,False,5675 North Front St,,Philadelphia,PA,19120,215-279-9666,,,,3/1/2020,2/23/2021
48,S00048,PHMC: Pathways to Recovery,Public Health Management Corporation (PHMC),Pathways to Recovery,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,False,2301 East Allegheny Ave,,Philadelphia,PA,19134,215-731-2402,215-985-2573,,"phone2 = PHMC web listing for Senior Advisor, Substance Use Prevention and Care",3/1/2020,2/23/2021
49,S00049,PF: Admin,Philadelphia FIGHT,Main Admin Office,http://fight.org/,True,1233 Locust St,3rd Floor,Philadelphia,PA,19107,215-985-4448,,,,2/23/2021,2/23/2021
50,S00050,PF: Jonathan Lax Ctr,Philadelphia FIGHT,Jonathan Lax Treatment Center,https://fight.org/,,1233 Locust St,3rd Floor,Philadelphia,PA,19107,215-790-1788,,,,3/1/2020,2/23/2021
51,S00051,PF: John Bell Ctr,Philadelphia FIGHT,John Bell Health Center,https://fight.org/,False,1207 Chestnut St,3rd Floor,Philadelphia,PA,19107,215-790-1788,,,,3/1/2020,2/23/2021
52,S00052,PF: Broad Street,Philadelphia FIGHT,Community Health Centers Clinic at Broad Street Ministry,https://fight.org/programs/broad-street-ministry/,False,315 South Broad St,,Philadelphia,PA,19107,215-525-8681,,,Added from program website based on finding provider with buprenorphine waiver dated 2020-11-25 (30 patients),2/26/2021,2/26/2021
53,S00053,Pathways to Housing,Pathways,Pathways to Housing PA,https://pathwaystohousingpa.org/,False,5201 Old York Rd,Suite 108,Philadelphia,PA,19141,215-390-1500,,,"Not on HFP site, but included in early 2020 HFP intern notes",3/1/2020,2/23/2021
54,S00054,PH: Stephen Klein,Project HOME,Stephen Klein Wellness Center,https://projecthome.org/skwc,True,2144 Cecil B. Moore Ave,,Philadelphia,PA,19121,215-320-6187,,,"2020 note for phone appends ""ext. 5757""",3/1/2020,2/23/2021
55,S00055,PH: Hub of Hope,Project HOME,Hub of Hope,https://projecthome.org/hub-hope,False,1401 Arch St,"Lower Level, Suburban Station Concourse",Philadelphia,PA,19102,215-309-5225,,,"Not on HFP site, but included in early 2020 HFP intern notes; URL updated Feb 2021 (manual research)",3/1/2020,2/23/2021
56,S00056,QCHC,"Quality Community Health Care, Inc. (QCHC)",QCHC Family Health Center,https://qchc.org/,True,2501 West Lehigh Ave,,Philadelphia,PA,19132,215-227-0300,,,,3/1/2020,2/23/2021
57,S00057,QCHC: Cooke,"Quality Community Health Care, Inc. (QCHC)",Cooke Family Health Center,https://qchc.org/,False,1300 West Loudon St,,Philadelphia,PA,19141,215-457-6902,,,,3/1/2020,2/23/2021
58,S00058,QCHC: Meade,"Quality Community Health Care, Inc. (QCHC)",Meade Family Health Center,https://qchc.org/,False,1800 West Oxford St,,Philadelphia,PA,19121,215-765-9501,,,,3/1/2020,2/23/2021
59,S00059,Sayre,Sayre Health Center,"Dr. Bernett L. Johnson, Jr. Sayre Health Center",http://www.sayrehealth.org/,True,5800 Walnut St,,Philadelphia,PA,19139,215-474-4444,,,,3/1/2020,2/23/2021
60,S00060,Spectrum: Admin,"Spectrum Health Services, Inc.",Main Admin Office,http://www.spectrumhs.org/,True,5201 Haverford Ave,,Philadelphia,PA,19139,215-471-2750,,,,2/23/2021,2/23/2021
61,S00061,Spectrum: SCHC,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),http://www.spectrumhs.org/,,5201 Haverford Ave,,Philadelphia,PA,19139,215-471-2761,,,,3/1/2020,2/23/2021
62,S00062,Spectrum: BSHC,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),http://www.spectrumhs.org/,False,1415 North Broad St,"Suite 224, Progressive Human Service Building",Philadelphia,PA,19122,215-235-7944,,,,3/1/2020,2/23/2021
63,S00063,Spectrum: RSHC,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),http://www.spectrumhs.org/,False,1325 South 33rd St,Suite 300,Philadelphia,PA,19146,215-220-3925,,,,3/1/2020,2/23/2021
64,S00064,CHHS: Admin,"Covenant House Health Services, Inc.",Main Admin Office,http://www.covenanthousehealth.org/,True,251 East Bringhurst St,,Philadelphia,PA,19144,215-844-1020,,,"Inactive URL: for sites_all, use most recent archival copy available (2015): https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/",2/23/2021,2/23/2021
65,S00065,CHHS,"Covenant House Health Services, Inc.",Covenant House Health Services,https://www.covenanthouse.org/,,251 East Bringhurst St,,Philadelphia,PA,19144,215-844-0181,,Data needs review,"Error: URL listed (http://www.covenanthousehealth.org/) is no longer active, compare 2015: https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/",3/1/2020,2/23/2021
66,S00066,CHHS: Health & Dental,"Covenant House Health Services, Inc.",Covenant House Health and Dental Center,https://www.covenanthouse.org/,False,138 Chelten Ave,2nd Floor Rear,Philadelphia,PA,19144,267-331-9832,,Data needs review,Error: URL listed (https://www.covenanthouse.org/) appears to be for a different organization (not a health center),3/1/2020,2/23/2021
67,S00067,CHHS: Mt. Pleasant,"Covenant House Health Services, Inc.",Mt. Pleasant Health Center,https://www.covenanthouse.org/,False,8125 Stenton Ave,,Philadelphia,PA,19150,215-248-7561,,Data needs review,Error: URL listed (https://www.covenanthouse.org/) appears to be for a different organization (not a health center),3/1/2020,2/23/2021
