site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,directory_srcs,,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,hfp_fqhc_id,other_srcs_id,...,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted
S00028,https://www.fpcn.com/health-annex/,,,6120B Woodland Ave,2nd Floor,19143,The Family Practice & Counseling Network (FPCN),Health Annex,1,54,NULL,NULL,NULL,28,26,,,,,,,,,,,,,,,,,,,,,
S00029,https://www.fpcn.com/annex-west-health-center/,,,3901 Market St,,19104,The Family Practice & Counseling Network (FPCN),Annex West Health Center,1,89,NULL,NULL,NULL,29,60,,,,,,,,,,,,,,,,,,,,,
S00030,https://www.gphainc.org/,215-925-2400,,1401 South 31st St,,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Main Admin Office,-1,30,NULL,NULL,NULL,30,,,TRUE,Not a practice site,,,,,,,,,,,,,,,,,,
S00031,https://www.gphainc.org/locations/find-a-location-near-you/#al-assist-behavioral-healthcare-center,,,1401 South 4th St,,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Al-Assist Behavioral Healthcare Center,2,28,1016,NULL,NULL,31,19,,,,,,,,,,,,,,,,,,,,,
S00032,https://www.gphainc.org/locations/find-a-location-near-you/#carl-moore-health-center,,,1401 South 31st St,,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Carl Moore Health Center,1,50,NULL,NULL,NULL,32,18,,,,,,,,,,,,,,,,,,,,,
S00033,https://www.gphainc.org/locations/find-a-location-near-you/#chinatown-medical-services,,,432 North 6th St,,19123,"Greater Philadelphia Health Action, Inc. (GPHA)",Chinatown Medical Services,1,33,NULL,NULL,NULL,33,,,,,,,,,,,,,,,,,,,,,,
S00034,https://www.gphainc.org/locations/find-a-location-near-you/#frankford-avenue-health-center,,,4500-4510 Frankford Ave,,19124,"Greater Philadelphia Health Action, Inc. (GPHA)",Frankford Avenue Health Center,1,34,NULL,NULL,NULL,34,,,,,,,,,,,,,,,,,,,,,,
S00035,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-dental-and-behavioral-healthcare,,,5501 Woodland Ave,,19143,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Dental and Behavioral Health",1,59,NULL,NULL,NULL,35,24,,,,,,,,,,,,,,,,,,,,,
S00036,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-medical-suite-at-temple-university-kornberg-school-of-dentistry,,,3223 North Broad St,"1st Floor, Suite 136",19140,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Medical Suite at Temple University Kornberg School of Dentistry",1,36,NULL,NULL,NULL,36,,,,,,,,,,,,,,,,,,,,,,
S00037,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-spectrum-behavioral-services,484-472-7430,,1489 Baltimore Pike,"Building 300, Suite 300",19064,"Greater Philadelphia Health Action, Inc. (GPHA)",GPHA Spectrum Behavioral Services,1,37,NULL,NULL,NULL,37,,,,,,,,,,,,,,,,,,,,,,
S00038,https://www.gphainc.org/locations/find-a-location-near-you/#hunting-park-health-center,,,1999 West Hunting Park Ave,,19140,"Greater Philadelphia Health Action, Inc. (GPHA)",Hunting Park Health Center,1,80,NULL,NULL,NULL,38,42,,,,,,,,,,,,,,,,,,,,,
S00039,https://www.gphainc.org/locations/find-a-location-near-you/#snyder-avenue-dental-center,,,640 Snyder Ave,,19148,"Greater Philadelphia Health Action, Inc. (GPHA)",Snyder Avenue Dental Center,1,39,NULL,NULL,NULL,39,,,,,,,,,,,,,,,,,,,,,,
S00040,https://www.gphainc.org/locations/find-a-location-near-you/#southeast-health-center,,,800 Washington Ave,,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Southeast Health Center,1,70,NULL,NULL,NULL,40,30,,,,,,,,,,,,,,,,,,,,,
S00041,https://www.gphainc.org/locations/find-a-location-near-you/#woodland-avenue-health-center,,,5000 Woodland Ave,,19143,"Greater Philadelphia Health Action, Inc. (GPHA)",Woodland Avenue Health Center,1,64,NULL,NULL,NULL,41,23,,,,,,,,,,,,,,,,,,,,,
S00042,https://www.phmc.org/,215-985-2500,,1500 Market St,Suite 1500,19102,Public Health Management Corporation (PHMC),Main Admin Office,-1,42,NULL,NULL,NULL,42,,,TRUE,Not a practice site,,,,,,,,,,,,,,,,,,
S00043,https://www.phmc.org/site/programs/health-care-centers/congreso-health-center,,,412 West Lehigh Ave,,19133,Public Health Management Corporation (PHMC),Congresso Health Center,1,127,NULL,NULL,NULL,43,84,,,,,,,,,,,,,,,,,,,,,
S00044,https://www.phmc.org/site/programs/health-care-centers/phmc-health-connection,,,1900 North 9th St,,19122,Public Health Management Corporation (PHMC),Health Connection,1,85,NULL,NULL,NULL,44,41,,,,,,,,,,,,,,,,,,,,,
S00045,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,,,1200 Callowhill St,Suite 102,19123,Public Health Management Corporation (PHMC),Care Clinic,3,240,32,NULL,"[4, 31, 32]",45,8,,,,,,,,,,,,,,,,,,,,,
S00046,https://www.phmc.org/site/programs/health-care-centers/mary-howard,,,125 South 9th St,,19107,Public Health Management Corporation (PHMC),Mary Howard Health Center,1,57,NULL,NULL,NULL,46,11,,,,,,,,,,,,,,,,,,,,,
S00047,https://www.phmc.org/site/programs/health-care-centers/rising-sun,,,5675 North Front St,,19120,Public Health Management Corporation (PHMC),Rising Sun Health Center,1,122,NULL,NULL,NULL,47,75,,,,,,,,,,,,,,,,,,,,,
S00048,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,,,2301 East Allegheny Ave,,19134,Public Health Management Corporation (PHMC),Pathways to Recovery,3,255,"[12, 23]",NULL,"[28, 48]",48,,,,,,,,,,,,,,,,,,,,,,
S00049,https://fight.org/,215-985-4448,,1233 Locust St,3rd Floor,19107,Philadelphia FIGHT,Main Admin Office,-1,49,NULL,NULL,NULL,49,,,TRUE,Not a practice site,,,,,,,,,,,,,,,,,,
S00050,https://fight.org/programs/lax-center/,215-790-1788,,1233 Locust St,4th Floor,19107,Philadelphia FIGHT,Jonathan Lax Treatment Center,1,60,NULL,NULL,NULL,50,10,,,,,,,,,,,,,,,,,,,,,
S00051,https://fight.org/programs/john-bell-center/,,,1207 Chestnut St,3rd Floor,19107,Philadelphia FIGHT,John Bell Health Center,1,60,NULL,NULL,NULL,51,9,,,,,,,,,,,,,,,,,,,,,
S00052,https://fight.org/programs/broad-street-ministry/,215-525-8681,,315 South Broad St,,19107,Philadelphia FIGHT,Community Health Centers Clinic at Broad Street Ministry,1,52,NULL,NULL,NULL,52,pending,,,,Added from program website based on finding provider with buprenorphine waiver dated 2020-11-25 (30 patients),,,,,,,,,,,,,,,,,
S00053,https://pathwaystohousingpa.org/,,,5201 Old York Rd,4th Floor,19141,Pathways,Pathways to Housing PA,2,80,NULL,NULL,27,53,,,,,"address_suppl changed from ""Suite 108"" to ""4th Floor"" to match program website (c) 2020",,,,,,,,,,,,,,,,,
S00054,https://www.projecthome.org/skwc,,,2144 Cecil B. Moore Ave,,19121,Project HOME,Stephen Klein Wellness Center,2,136,NULL,NULL,34,54,48,,,,,,,,,,,,,,,,,,,,,
S00055,https://projecthome.org/hub-hope,,,1401 Arch St,Lower Level ,19102,Project HOME,Hub of Hope,1,72,NULL,NULL,NULL,55,17,,,,,,,,,,,,,,,,,,,,,
S00056,https://qchc.org/,,,2501 West Lehigh Ave,,19132,"Quality Community Health Care, Inc. (QCHC)",QCHC Family Health Center,1,78,NULL,NULL,NULL,56,22,,,,,,,,,,,,,,,,,,,,,
S00057,https://qchc.org/facilities-1,,,1300 West Loudon St,,19141,"Quality Community Health Care, Inc. (QCHC)",Cooke Family Health Center,1,57,NULL,NULL,NULL,57,,,,,,,,,,,,,,,,,,,,,,
S00058,https://qchc.org/facilities-1,,,1800 West Oxford St,,19121,"Quality Community Health Care, Inc. (QCHC)",Meade Family Health Center,1,58,NULL,NULL,NULL,58,,,,,,,,,,,,,,,,,,,,,,
S00059,http://www.sayrehealth.org/,,,5800 Walnut St,,19139,Sayre Health Center,"Dr. Bernett L. Johnson, Jr. Sayre Health Center",1,84,NULL,NULL,NULL,59,25,,,,,,,,,,,,,,,,,,,,,
S00060,https://www.spectrumhs.org/,215-471-2750,,5201 Haverford Ave,,19139,"Spectrum Health Services, Inc.",Main Admin Office,-1,60,NULL,NULL,NULL,60,,,TRUE,Not a practice site,,,,,,,,,,,,,,,,,,
S00061,https://www.spectrumhs.org/locations/spectrum-community-health-center-schc/,,,5201 Haverford Ave,,19139,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),1,61,NULL,NULL,NULL,61,,,,,,,,,,,,,,,,,,,,,,
S00062,https://www.spectrumhs.org/locations/broad-street-health-center-bshc/,,,1415 North Broad St,,19122,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),1,62,NULL,NULL,NULL,62,,,,,,,,,,,,,,,,,,,,,,
S00063,https://www.spectrumhs.org/locations/reed-street-health-center-rshc/,,,1325 South 33rd St,,19146,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),1,63,NULL,NULL,NULL,63,,,,,,,,,,,,,,,,,,,,,,
S00064,https://apmphila.org/services/health-services/,267-296-7220,267-296-7222,4301 Rising Sun Ave,,19140,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [1 of 3],2,3,58,NULL,2,NULL,85,,,,,,,,,,,,,,,,,,,,,
S00065,https://apmphila.org/services/health-services/,215-259-3373,215-259-3358,2921 North 5th St,,19133,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [3 of 3],1,1,57,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,
S00066,https://apmphila.org/services/health-services/,267-798-7560,,112 East Allegheny Ave,,19134,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [2 of 3],0,1,NULL,NULL,NULL,NULL,pending,,TRUE,Data needs review,"Added from APM website: Does location offer MAT? [[systems data may want separate record for Admin office: 1900 North 9th St, 19122, phone = 267-296-7200]]",,,,,,,,,,,,,,,,,
S00067,https://www.casacares.net/,215-634-3259,800-273-8255,213 West Allegheny Ave,,19133,Casa de Consejeria y Salud Integral,,2,3,1019,NULL,3,NULL,46,,,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",,,,,,,,,,,,,,,,,
S00068,https://www.casacares.net/,215-501-7629,,616 West Lehigh Ave,,19133,Casa de Consejeria y Salud Integral,,1,1,63,NULL,NULL,NULL,,,,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",,,,,,,,,,,,,,,,,
S00069,https://catchinc.com/mission/team/type/psychiatric-team/,215-735-7435,215-755-6112,2401 Penrose Ave,2nd Floor,19145,CATCH (Citizens Acting Together Can Help),River’s Bend Addiction Treatment,0,1,NULL,NULL,NULL,NULL,93,,TRUE,Data needs review,"[_] Contact https://catchinc.com/services about whether/which location(s) offer MAT (Elton Smith has buprenorphine waiver); replaced ""1400 Reed St, 19146"" with potentially more relevant option from CATCH website",,,,,,,,,,,,,,,,,
S00070,http://www.jfkbhc.org/,215-235-5520,,907 North Broad St,,19123,"Centralized Comprehensive Human Services, Inc.","John F. Kennedy Behavioral Health Center, Satellite Office",3,4,7,16,15,NULL,32,,,,,,,,,Yes,,,,,,,,,,,,
S00071,http://www.jfkbhc.org/,215-568-0860,,112 North Broad St,,19102,"Centralized Comprehensive Human Services, Inc.",John F. Kennedy Behavioral Health Center,2,3,66,NULL,16,NULL,7,,,,,,,,,,,,,,,,,,,,,
S00072,https://www.comhar.org/,,,2055 East Allegheny Ave,,19134,COMHAR,,1,2,NULL,NULL,5,NULL,54,,,,,,,,,,,,,,,,,,,,,
S00073,https://www.comhar.org/,,,2600 North American St,,19133,COMHAR,,1,1,NULL,NULL,6,NULL,,,,,,,,,,,,,,,,,,,,,,
S00074,https://drexel.edu/medicine/community-engagement/patient-care/the-caring-together-program/,,,4700 Wissahickon Ave,"Building C, Suite 102",19144,Drexel University Medicine,The Caring Together Program,2,3,11,NULL,8,NULL,pending,,,,,,,,,,,,,,,,,,,,,
S00075,https://drexel.edu/medicine/community-engagement/patient-care/partnership-comprehensive-care-practice/,,,1427 Vine St,2nd Floor,19102,Drexel University Medicine,,0,1,NULL,NULL,NULL,NULL,77,,,,Also see https://towerhealth.org/locations/tower-health-medical-group-infectious-disease-philadelphia,,,,,,,,,,,,,,,,,
S00076,https://towerhealth.org/locations/drexel-partnership,,,1427 Vine St,6th Floor,19102,,,0,1,NULL,NULL,NULL,NULL,102,,,,,,,,,,,,,,,,,,,,,
S00077,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-vine-street,,,1427 Vine St,8th Floor,19102,,,0,1,NULL,NULL,NULL,NULL,76,,,,,,,,,,,,,,,,,,,,,
S00078,https://towerhealth.org/locations/chestnut-hill-hospital,,,8835 Germantown Ave,,19118,,,0,1,NULL,NULL,NULL,NULL,99,,,,,,,,,,,,,,,,,,,,,
S00079,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,,,8815 Germantown Ave,5th Floor,19118,,,0,1,NULL,NULL,NULL,NULL,100,,,,,,,,,,,,,,,,,,,,,
S00080,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,,,219 North Broad St,1st Floor,19107,,,0,1,NULL,NULL,NULL,NULL,78,,,,,,,,,,,,,,,,,,,,,
S00081,https://www.einstein.edu/einstein-medical-center-philadelphia,,,5501 Old York Rd,,19141,Einstein,Einstein Medical Center,1,1,NULL,NULL,44,NULL,,,,,,,,,,,,,,,,,,,,,,
S00082,https://www.gaudenzia.org/,,,3200 Henry Ave,,19129,Gaudenzia,,2,3,26,NULL,10,NULL,47,,,,,,,,,,,,,,,,,,,,,
S00083,https://www.gaudenzia.org/,resume from https://www.gaudenzia.org/locations/,,1306 Spring Garden St,2nd Floor,19123,Gaudenzia,,2,3,"[20, 1005]",NULL,"[9, 49]",NULL,13,,,,,,,,,,,,,,,,,,,,,
S00084,https://www.gaudenzia.org/,,,5401 Wayne Ave,,19144,Gaudenzia,,1,2,31,NULL,NULL,NULL,49,,,,,,,,,,,,,,,,,,,,,
S00085,https://www.gaudenzia.org/,,,1834 West Tioga St,,19140,Gaudenzia,,1,2,39,NULL,NULL,NULL,37,,,,,,,,,,,,,,,,,,,,,
S00086,https://www.gaudenzia.org/,,,3025 North Broad St,,19132,Gaudenzia,,1,2,67,NULL,NULL,NULL,45,,,,,,,,,,,,,,,,,,,,,
S00087,https://www.gaudenzia.org/,,,1516 Washington Ave,,19146,Gaudenzia,,1,2,62,NULL,NULL,NULL,35,,,,,,,,,,,,,,,,,,,,,
S00088,https://www.gaudenzia.org/,,,1300 East Tulpehocken St,,19138,Gaudenzia,,1,2,42,NULL,NULL,NULL,12,,,,,,,,,,,,,,,,,,,,,
S00089,https://www.gaudenzia.org/,,,39 East Schoolhouse Lane,,19144,Gaudenzia,,1,1,33,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,
S00090,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,215-955-3792,800-533-3669,1239 Spring Garden St,,19123,Jefferson University Hospitals,My Sister’s Place (MSP),1,2,50,NULL,NULL,NULL,pending,,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,,,,,,,,,,,,,,,,,
S00091,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,215-735-5979,,1021 South 21st St,"1st Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Narcotic Addiction Rehabilitation Program (NARP),3,4,19,4,37,NULL,33,,,,See also https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,,,,,,,,,,,,,,,,,
S00092,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,215-503-6337,,1015 Walnut St,Suite 401,19107,Jefferson University Hospitals,Thomas Jefferson University Hospital,0,1,NULL,NULL,NULL,NULL,63,,,,"Why do multiple buprenorphine providers list this address, when site does not appear to offer MAT? https://www.jefferson.edu/university/skmc/departments/family-medicine/fellowships/Hospice-Palliative/faculty.html",,,,,,,,,,,,,,,,,
S00093,https://hospitals.jefferson.edu/find-a-location/locations/1233-locust-street.html,215-955-8577,215-955-3792,1233 Locust St,Suite 401,19107,Jefferson University Hospitals,Family Center of Thomas Jefferson University,3,3,24,3,36,NULL,,,,,See also https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,,,,,,,,,,,,,,,,,
S00094,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-955-8420,215-955-8856,833 Chestnut St East,Suite 210-E,19107,Jefferson University Hospitals,Jefferson Outreach Program,1,2,35,NULL,NULL,NULL,55,,,,[_] Address offers 2+ programs: Create second record for IOP (with phone2)?,,,,,,,,,,,,,,,,,
S00095,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-790-9942,,1021 South 21st St,"2nd Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Jefferson Intensive Substance Abuse Treatment Program (IOP),1,2,56,NULL,NULL,NULL,pending,,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,,,,,,,,,,,,,,,,,
S00096,https://www.merakey.org/,,,5429 Germantown Ave,,19144,Merakey,,3,4,6,14,19,NULL,44,,,,,,,,,,,,,,,,,,,,,
S00097,https://www.merakey.org/,,,5000 Parkside Ave,,19131,Merakey,,3,4,3,8,18,NULL,43,,,,,,,,,,,,,,,,,,,,,
S00098,https://www.merakey.org/,,,11082 Knights Road,,19154,Merakey,,2,3,21,NULL,21,NULL,36,,,,,,,,,,,,,,,,,,,,,
S00099,https://www.merakey.org/,,,100 East Lehigh Ave,,19125,Merakey,,1,2,NULL,NULL,20,NULL,3,,,,,,,,,,,,,,,,,,,,,
S00100,http://netcenters.org/services/addiction-recovery-programs/,215-743-6150,,2205 Bridge St.,,19137,NET Community Care,NET Steps,3,4,"[2, 10]",11,24,NULL,62,,,,"[_] Does this record need a separate entry for NET Community Care: Wharton Residential Center (phone = 215-288-5490, samhsa_ftloc = 10)?",,,,,,,,,,,,,,,,,
S00101,http://netcenters.org/services/addiction-recovery-programs/,267-348-3550,,7520 State Road,,19136,NET Community Care,NET Steps,3,4,4,15,25,NULL,28,,,,,,,,,,,,,,,,,,,,,
S00102,http://netcenters.org/services/addiction-recovery-programs/,215-451-7100,,499 North 5th St,Suite C,19123,NET Community Care,Spring Garden Counseling Center,3,4,14,19,"[23, 42]",NULL,52,,,,Admin office is at Suite A of this address (phone 215-451-7000),,,,,,,,,,,,,,,,,
S00103,http://netcenters.org/services/addiction-recovery-programs/,267-597-3920,,4625 Frankford Ave,,19124,NET Community Care,Frankford Avenue Counseling Center,2,3,51,NULL,26,NULL,51,,,,,,,,,,,,,,,,,,,,,
S00104,http://netcenters.org/services/addiction-recovery-programs/,215-747-6480,,5501 Chestnut St,,19139,NET Community Care,West Counseling Center,1,1,1018,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,
S00105,http://netcenters.org/services/addiction-recovery-programs/,215-226-1600,,2701 North Broad St,,19132,NET Community Care,North Counseling Center,0,1,NULL,NULL,NULL,NULL,pending,,TRUE,Data needs review,Added from NET website: Does location offer MAT?,,,,,,,,,,,,,,,,,
S00106,https://bewellctr.org/,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),The Behavioral Wellness Center at Girard,3,3,"[47, 9, 46, 49]",6,22,NULL,,,,,See also FQHC record for same address; for URL www.nphs.com redirects to bewellctr.org,,,,,,,,,,,,,,,,,
S00107,https://bewellctr.org/,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),formerly Girard Medical Center,3,3,"[41, 44, 45]",6,22,NULL,,,,,URL redirects from www.nphs.com,,,,,,,,,,,,,,,,,
S00108,https://www.med.upenn.edu/hallmercer/,,,245 South 8th St,,19106,Penn Medicine,,1,2,NULL,NULL,45,NULL,64,,,,,,,,,,,,,,,,,,,,,
