rec_id,date_firstfind,date_lastfind,name1,name2,street1,street2,city,state_usa,zip5,zip4,county,phone,intake_prompt,phone_intake1,phone_intake2,website,latitude,longitude,type_facility,sa,dt,bu,bum,ub,bwn,bwon,bmw,beri,bsdm,db_field,bmo,mo,mu,meth,mm,mmw,dm,nu,un,vtrl,nxn,rpn,otp,omb,otpa,pain,ulc,moa,odtx,ubn,hh,noop,nmoa,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi_field,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,add_field,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40,mat_bupe,mat_ntrex,mat_mtd,mat_misc,mat_avail
11,2020-09-08,2021-01-16,Caring Together Addictions and,Mental Health Program for Women,4700 Wissahickon Avenue,"Building C, Suite 102",Philadelphia,PA,19144,,Philadelphia,215-967-2130,,,,www.drexelmed.edu/caringtogether,40.0159527,-75.1724136,SA,True,True,True,True,True,True,True,True,True,,True,,,,,,,,True,True,True,True,True,,True,,,True,True,True,,,,,True,True,True,True,True,True,,,,,True,,,,True,,,True,,,,,,,,,,,,True,True,True,,,,,,,,True,True,True,,True,,,True,True,,,,True,,,,,True,,,,True,,,True,True,True,,,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,True,,,True,True,,,True,,,,True,,,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
12,2020-09-08,2021-01-16,Pathways to Recovery,PHMC,2301 East Allegheny Avenue,2nd Floor,Philadelphia,PA,19134,,Philadelphia,215-731-2402,,,,www.phmc.org,39.9896847,-75.1064647,SA,True,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,True,True,,True,,True,True,,True,,,,,True,True,True,True,True,,,True,,,True,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,True,,,,,,True,,True,True,,,,,,,,,,,,,,,,True,,,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,,,,,True,,,,,,,True,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
13,2020-09-08,2021-01-16,Fairmount Behavioral Health System,,561 Fairthorne Avenue,,Philadelphia,PA,19128,,Philadelphia,215-487-4000 x4000,,215-487-4100,,www.fairmountbhs.com,40.0434166,-75.2215622,SA,True,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,True,True,,,,True,True,,True,,,,,True,True,True,True,,True,,,,True,,True,,True,,,,,,,,,True,,,,,,,True,True,True,True,True,,,,,,True,True,True,True,True,,,,,,True,,,,,,,,,,,True,True,,,,,,,True,True,True,,,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,,,,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,,,,,,,,,,True,,,,True,True,,True,,,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
14,2020-09-08,2021-01-16,Northeast Treatment Centers,Spring Garden Counseling Center,495-499 North 5th Street,,Philadelphia,PA,19123,,Philadelphia,215-451-7100,,877-638-4581,,www.netcenters.org,39.960675,-75.1461249,SA,True,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,,True,True,True,,,,True,True,,,,,True,True,True,True,,True,,,,,True,,,,True,,True,True,,,,,,,,,,,,True,True,True,,,True,,,,,True,True,True,,,,,,,,,,,,,,,True,,True,,True,,,,,,,True,True,True,,,,,True,True,True,True,True,True,True,True,True,,,True,,True,,,True,True,,,True,,,,True,,True,True,True,True,,,,,,True,True,True,,True,True,True,True,True,True,,True,True,,True,True,,True,True,,True,,True,True,True,,True,,True,,True,True,,,True,True,,True,True,,,,,,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
15,2020-09-08,2021-01-16,Wedge Medical Center,,4243 Frankford Avenue,,Philadelphia,PA,19124,,Philadelphia,215-276-3922,,,,www.wedgepc.com,40.009661,-75.089174,SA,True,,True,True,True,True,True,True,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,True,,,,,,,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,True,True,,,True,,,True,True,True,True,True,,True,,,,True,,True,True,True,True,,,,,True,True,True,,,True,True,,True,,True,,True,True,,,True,True,,True,,True,,,True,,True,,,,,,True,,,True,True,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
16,2020-09-08,2021-01-16,Wedge Medical Center,,3609 North Broad Street,,Philadelphia,PA,19140,,Philadelphia,215-276-3922,,,,www.wedgepc.com,40.0079730822277,-75.1514786073831,SA,True,,True,True,True,True,True,True,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,True,,,,,,,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,,,,True,True,True,,,True,True,,True,,True,,True,True,,,True,True,,True,,True,,True,True,,True,,,,,,True,,,True,True,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
17,2020-09-08,2021-01-16,Wedge Medical Center,,2009 South Broad Street,,Philadelphia,PA,19148,,Philadelphia,215-276-3922,,,,www.wedgepc.com,39.9254541517702,-75.1694420049002,SA,True,,True,True,True,True,True,True,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,True,,,,,,,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,,,,True,True,True,,,True,True,,True,,True,,True,True,,,True,True,,True,,True,,,True,,True,,,,,,True,,,True,True,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
18,2020-09-08,2021-01-16,Philadelphia VA Medical Center (PVAMC),Addiction Recovery Unit,39th and Woodland Avenue,,Philadelphia,PA,19104,,Philadelphia,215-823-4070,,215-823-4014,,,39.9496679,-75.2015413,SA,True,True,True,True,True,True,,True,,,True,,,,,,,,True,True,True,True,True,True,True,,,,,True,,,,,True,,True,True,,True,,,True,True,True,True,True,,True,,,True,True,True,,True,,True,,,,,,,,,,True,,,,,True,,,,,,,,True,,,True,,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,True,True,True,,True,True,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,,,,,,,,True,,,,True,True,,,True,,,True,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
19,2020-09-08,2021-01-16,Thomas Jefferson University,Narcotic Addiction Rehab Program,NE Corner of South 21st Street and,"Washington Avenue, 1st Floor",Philadelphia,PA,19146,,Philadelphia,215-735-5979,,,215-790-9942,www.jefferson.edu,39.936108,-75.1789242,SA,True,,True,True,True,True,,,True,,,True,True,True,True,True,,,,,,,,True,True,True,,,,,,,,,True,,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,True,,,,,,True,True,True,True,,,,,,,,,True,,,,,True,,,,True,True,True,True,,,,True,,,,,,,True,True,True,True,True,,True,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
20,2020-09-08,2021-01-16,Gaudenzia Inc,Together House/People With Hope,1306 Spring Garden Street,8th Floor,Philadelphia,PA,19123,,Philadelphia,215-238-2163 x2216,Intakes,215-238-2163 x2293,215-413-8268 x2242,www.gaudenzia.org,39.9618338,-75.1596912,SA,True,True,True,True,True,True,,True,,,True,,,,,,,,True,True,True,True,True,,True,,,,,True,,,,,True,,True,True,,,True,,,True,True,True,True,True,,True,True,True,,,,,,,,,,,,True,,True,,,True,,,,,True,True,,True,True,True,,True,True,,,,True,True,True,,,True,,,,True,True,True,True,True,True,,True,True,True,,,,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,True,,,True,True,True,True,,True,True,True,True,,True,True,True,,True,,True,,True,,,,,,,True,,,,True,True,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
21,2020-09-08,2021-01-16,Merakey Parkside Recovery,Knights Road,11082 Knights Road,,Philadelphia,PA,19154,,Philadelphia,215-632-9040 x190,Intakes,866-647-0007,215-632-9040 x234,www.merakey.org,40.0836056,-74.975261,SA,True,,True,True,True,True,True,,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,True,,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,True,True,,True,,,True,,,,True,True,True,,,,True,,,,,True,,,,,,,,,,,,True,True,True,,,,,,,,,True,True,True,True,True,True,,,True,True,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,,True,,True,,,,True,True,True,True,,,,True,True,True,,True,,,True,,True,,True,,,,True,,True,,,True,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
22,2020-09-08,2021-01-16,Penn Presbyterian Medical Center,Inpatient Substance Use Treatment,51 North 39 Street,"Wright Saunders Building, 4th Floor",Philadelphia,PA,19104,,Philadelphia,215-662-8884,Intakes,215-662-8747,215-662-8283,www.med.upenn.edu/recovery,39.9584406,-75.1994594,SA,True,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,True,,,,,,,,True,,,,,True,,True,,,True,,,True,True,,True,,True,,,,,True,True,,True,,,,,,,,True,,True,True,True,,,,,,True,True,True,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,,True,True,True,,True,True,,True,,,True,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,,True,,True,True,,,,True,True,,True,True,,True,True,True,True,,True,True,True,True,,True,True,True,True,True,,True,,True,,,,,,,True,,,,,,,,,,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
23,2020-09-08,2021-01-16,Beacon Point Recovery Center,,2301 East Allegheny Avenue,,Philadelphia,PA,19134,,Philadelphia,215-337-2950,,,,,39.9896847,-75.1064647,SA,True,True,True,,True,True,True,,True,True,True,,,,,,,,True,True,True,True,,,,,,,,True,,,,,True,True,True,True,True,,True,,True,True,,True,True,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,True,,,True,True,,,,,,,True,True,,,,,,,,,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,True,,,True,,,,,,,True,,,,,,True,True,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
24,2020-09-08,2021-01-16,Family Center of Thomas Jefferson Univ,Specialized Program for Preg Women,1233 Locust Street,4th Floor,Philadelphia,PA,19107,,Philadelphia,215-955-8577,,,,www.jefferson.edu,39.9479863,-75.1618801,SA,True,,True,True,True,True,True,True,,,,,,True,True,True,True,,,,,,,True,True,,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,True,,,,,,True,True,True,True,True,,,True,,,,,True,True,,,,True,,,True,True,,True,True,True,True,,True,,,,,,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,True,,,,True,,,True,True,True,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,,,,,True,,,,,,,,,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
25,2020-09-08,2021-01-16,Interim House Inc,,333 West Upsal Street,,Philadelphia,PA,19119,,Philadelphia,215-849-4606 x6617,Intakes,215-849-4606 x6607,215-849-4606 x6602,www.interimhouse.org,40.043181,-75.188918,SA,True,,True,True,True,True,True,,True,,,,,,,,,,True,True,True,True,True,,True,,,,,,,True,,,True,True,True,True,,True,,,,True,True,True,True,,,,True,True,,,,,,,,,,,,True,,,,,,,,,,True,True,,,,,,True,True,,,,True,,,,,True,,,,True,,,,,,,True,,,,,True,,True,True,,,True,True,True,True,True,,,True,,,True,True,True,,,,True,True,,True,True,,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,True,,,,,,,True,,,,True,True,True,True,,True,True,True,True,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
26,2020-09-08,2021-01-16,Gaudenzia DRC Inc,,3200 Henry Avenue,,Philadelphia,PA,19129,,Philadelphia,215-991-9700 x279,Intakes,215-991-9700 x220,610-416-4935,www.gaudenzia.org,40.0093619,-75.1812822,SA,True,,True,True,True,True,,True,,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,True,,,True,True,True,True,True,True,,,,True,True,True,True,,,True,True,True,,,,,,,,,,,,True,True,True,,,,,,,,True,True,True,,True,,,True,True,True,,True,True,True,True,,,True,True,,,True,True,True,True,True,True,True,,,,,,,,True,True,True,,True,True,True,True,True,True,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,,,,True,,,,True,True,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
27,2020-09-08,2021-01-16,Rehab After Work,,1420 Walnut Street,Suite 500,Philadelphia,PA,19102,,Philadelphia,215-546-2200,,,610-644-6464,www.rehabafterwork.com,39.9492642,-75.1654596,SA,True,,True,True,True,True,True,,True,,,,,,,,,,True,True,True,True,,,True,,,,,,,,,,True,True,True,True,True,,,True,,,True,,,,,True,True,True,,,,,,,,,,,,True,True,True,,,True,True,True,,,True,,,,True,True,,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,True,,,,,True,True,True,,True,True,,True,True,,True,True,True,True,True,True,,True,,True,,True,,True,True,True,True,,,True,True,True,True,,True,,,,,,,,True,True,True,,,True,,,,,,,True,,,,,,,,True,True,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
28,2020-09-08,2021-01-16,SOAR Corporation,,9150 Marshall Street,Suite 18,Philadelphia,PA,19114,,Philadelphia,215-464-4450,,,,www.soarcorp.org/,40.0738603,-75.0310871,SA,True,,True,True,True,True,,True,,,,,,True,True,True,True,,,,,,,True,True,,,,,,,,,,True,,True,True,True,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,,True,,,True,,,,,,,True,True,,,,,,True,,True,True,True,True,True,True,True,True,,,,,,True,,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,,,True,,,,,True,,,,,,,,,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,0,0,0,0,0
