DB:,site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,hfp_fqhc_id,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted
25,S00025,https://www.fpcn.com/abbottsford-falls/,215-843-9720,,4700 Wissahickon Ave,"Building D, Suite 119",19144,The Family Practice & Counseling Network (FPCN),Abbotsford-Falls Health Center,25,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
26,S00026,https://www.fpcn.com/stephen-and-sandra-sheller-11th-street-family-health-services-of-drexel-university/,215-769-1100,,850 North 11th St,,19123,The Family Practice & Counseling Network (FPCN),Stephen and Sandra Sheller 11th Street Family Health Services of Drexel University,26,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
27,S00027,https://www.fpcn.com/Fast-Family-Care/,267-597-3610,,2800 Fox St,Unit A,19129,The Family Practice & Counseling Network (FPCN),Fast Family Care at Shoprite,27,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
28,S00028,https://www.fpcn.com/health-annex/,215-727-4721,,6120B Woodland Ave,2nd Floor,19143,The Family Practice & Counseling Network (FPCN),Health Annex,28,NULL,NULL,NULL,,,March 2021: Building closed for renovations; phone for appointments elsewhere,,,,,,,,,,,,,,,,,
29,S00029,https://www.fpcn.com/annex-west-health-center/,267-350-5150,,3901 Market St,,19104,The Family Practice & Counseling Network (FPCN),Annex West Health Center,29,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
30,S00030,https://www.gphainc.org/,215-925-2400,,1401 South 31st St,,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Main Admin Office,30,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
31,S00031,https://www.gphainc.org/locations/find-a-location-near-you/#al-assist-behavioral-healthcare-center,215-339-1079,215-339-1070,1401 South 4th St,,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Al-Assist Behavioral Healthcare Center,31,1016,NULL,NULL,,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-952-6960,,,,,,,,,,,,,,,,,
32,S00032,https://www.gphainc.org/locations/find-a-location-near-you/#carl-moore-health-center,215-755-7700,215-789-6931,1401 South 31st St,,19146,"Greater Philadelphia Health Action, Inc. (GPHA)",Carl Moore Health Center,32,NULL,NULL,NULL,,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,,,,,,,,,,,,,,,,,
33,S00033,https://www.gphainc.org/locations/find-a-location-near-you/#chinatown-medical-services,215-627-8000,267-519-0271,432 North 6th St,,19123,"Greater Philadelphia Health Action, Inc. (GPHA)",Chinatown Medical Services,33,NULL,NULL,NULL,,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,,,,,,,,,,,,,,,,,
34,S00034,https://www.gphainc.org/locations/find-a-location-near-you/#frankford-avenue-health-center,215-744-1302,215-831-9882,4500-4510 Frankford Ave,,19124,"Greater Philadelphia Health Action, Inc. (GPHA)",Frankford Avenue Health Center,34,NULL,NULL,NULL,,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-743-4106,,,,,,,,,,,,,,,,,
35,S00035,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-dental-and-behavioral-healthcare,888-296-4742,215-724-4700,5501 Woodland Ave,,19143,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Dental and Behavioral Health",35,NULL,NULL,NULL,,,phone1 = Medical; phone2 = Behavioral Health; Pharmacy phone = 215-729-3912,,,,,,,,,,,,,,,,,
36,S00036,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-medical-suite-at-temple-university-kornberg-school-of-dentistry,215--226-3789,,3223 North Broad St,"1st Floor, Suite 136",19140,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Medical Suite at Temple University Kornberg School of Dentistry",36,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
37,S00037,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-spectrum-behavioral-services,484-472-7430,,1489 Baltimore Pike,"Building 300, Suite 300",19064,"Greater Philadelphia Health Action, Inc. (GPHA)",GPHA Spectrum Behavioral Services,37,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
38,S00038,https://www.gphainc.org/locations/find-a-location-near-you/#hunting-park-health-center,215-228-9300,215-221-6255,1999 West Hunting Park Ave,,19140,"Greater Philadelphia Health Action, Inc. (GPHA)",Hunting Park Health Center,38,NULL,NULL,NULL,,,phone1 = Medical & Behavioral Health; phone2 = Pharmacy,,,,,,,,,,,,,,,,,
39,S00039,https://www.gphainc.org/locations/find-a-location-near-you/#snyder-avenue-dental-center,215-334-4900,,640 Snyder Ave,,19148,"Greater Philadelphia Health Action, Inc. (GPHA)",Snyder Avenue Dental Center,39,NULL,NULL,NULL,True,Other,"Dental care only (no Medical, no Behavioral Health, no Pharmacy)",,,,,,,,,,,,,,,,,
40,S00040,https://www.gphainc.org/locations/find-a-location-near-you/#southeast-health-center,215-339-5100,215-339-4006,800 Washington Ave,,19147,"Greater Philadelphia Health Action, Inc. (GPHA)",Southeast Health Center,40,NULL,NULL,NULL,,,phone1 = Medical & Behavioral Health; phone2 = Medical Dispensary,,,,,,,,,,,,,,,,,
41,S00041,https://www.gphainc.org/locations/find-a-location-near-you/#woodland-avenue-health-center,215-726-9807,215-730-2828,5000 Woodland Ave,,19143,"Greater Philadelphia Health Action, Inc. (GPHA)",Woodland Avenue Health Center,41,NULL,NULL,NULL,,,phone1 = Medical & Behavioral; phone2 = Medical Dispensary,,,,,,,,,,,,,,,,,
42,S00042,https://www.phmc.org/,215-985-2500,,1500 Market St,Suite 1500,19102,Public Health Management Corporation (PHMC),Main Admin Office,42,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
43,S00043,https://www.phmc.org/site/programs/health-care-centers/congreso-health-center,267-765-2272,,412 West Lehigh Ave,,19133,Public Health Management Corporation (PHMC),Congresso Health Center,43,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
44,S00044,https://www.phmc.org/site/programs/health-care-centers/phmc-health-connection,215-765-6690,,1900 North 9th St,,19122,Public Health Management Corporation (PHMC),Health Connection,44,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
45,S00045,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,215-825-8220,,1200 Callowhill St,Suite 101,19123,Public Health Management Corporation (PHMC),Care Clinic,45,32,NULL,"[4, 31, 32]",,,"address_suppl ""Suite 101"" from PHMC website; some sources list ""Suite 102""",,,,,,,,,,,,,,,,,
46,S00046,https://www.phmc.org/site/programs/health-care-centers/mary-howard,215-592-4500,,125 South 9th St,,19107,Public Health Management Corporation (PHMC),Mary Howard Health Center,46,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
47,S00047,https://www.phmc.org/site/programs/health-care-centers/rising-sun,215-279-9666,,5675 North Front St,,19120,Public Health Management Corporation (PHMC),Rising Sun Health Center,47,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
48,S00048,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,215-731-2402,,2301 East Allegheny Ave,,19134,Public Health Management Corporation (PHMC),Pathways to Recovery,48,"[12, 23]",NULL,"[28, 48]",,,,,,,,,,,,,,,,,,,,
49,S00049,https://fight.org/,215-985-4448,,1233 Locust St,3rd Floor,19107,Philadelphia FIGHT,Main Admin Office,49,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
50,S00050,https://fight.org/programs/lax-center/,215-790-1788,,1233 Locust St,4th Floor,19107,Philadelphia FIGHT,Jonathan Lax Treatment Center,50,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
51,S00051,https://fight.org/programs/john-bell-center/,267-725-0252,,1207 Chestnut St,3rd Floor,19107,Philadelphia FIGHT,John Bell Health Center,51,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
52,S00052,https://fight.org/programs/broad-street-ministry/,215-525-8681,,315 South Broad St,,19107,Philadelphia FIGHT,Community Health Centers Clinic at Broad Street Ministry,52,NULL,NULL,NULL,,,Added from program website based on finding provider with buprenorphine waiver dated 2020-11-25 (30 patients),,,,,,,,,,,,,,,,,
53,S00053,https://pathwaystohousingpa.org/,215-390-1500,,5201 Old York Rd,4th Floor,19141,Pathways,Pathways to Housing PA,53,NULL,NULL,27,,,"address_suppl changed from ""Suite 108"" to ""4th Floor"" to match program website (c) 2020",,,,,,,,,,,,,,,,,
54,S00054,https://projecthome.org/stephen-klein-wellness-center,215-320-6187,,2144 Cecil B. Moore Ave,,19121,Project HOME,Stephen Klein Wellness Center,54,NULL,NULL,34,,,,,,,,,,,,,,,,,,,,
55,S00055,https://projecthome.org/hub-hope,215-309-5225,,1401 Arch St,Lower Level ,19102,Project HOME,Hub of Hope,55,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
56,S00056,https://qchc.org/facilities-1,215-227-0300,,2501 West Lehigh Ave,,19132,"Quality Community Health Care, Inc. (QCHC)",QCHC Family Health Center,56,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
57,S00057,https://qchc.org/facilities-1,215-457-6902,,1300 West Loudon St,,19141,"Quality Community Health Care, Inc. (QCHC)",Cooke Family Health Center,57,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
58,S00058,https://qchc.org/facilities-1,215-765-9501,,1800 West Oxford St,,19121,"Quality Community Health Care, Inc. (QCHC)",Meade Family Health Center,58,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
59,S00059,http://www.sayrehealth.org/,215-474-4444,,5800 Walnut St,227 South 59th St,19139,Sayre Health Center,"Dr. Bernett L. Johnson, Jr. Sayre Health Center",59,NULL,NULL,NULL,,,address_suppl Added from Sayre website (map shows intersection with listed street_address),,,,,,,,,,,,,,,,,
60,S00060,https://www.spectrumhs.org/,215-471-2750,,5201 Haverford Ave,,19139,"Spectrum Health Services, Inc.",Main Admin Office,60,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
61,S00061,https://www.spectrumhs.org/locations/spectrum-community-health-center-schc/,215-471-2761,,5201 Haverford Ave,,19139,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),61,NULL,NULL,NULL,,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),,,,,,,,,,,,,,,,,
62,S00062,https://www.spectrumhs.org/locations/broad-street-health-center-bshc/,215-471-2761,,1415 North Broad St,,19122,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),62,NULL,NULL,NULL,,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),,,,,,,,,,,,,,,,,
63,S00063,https://www.spectrumhs.org/locations/reed-street-health-center-rshc/,215-471-2761,,1325 South 33rd St,,19146,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),63,NULL,NULL,NULL,,,phone1 shared between 3 sites (https://www.spectrumhs.org/locations/),,,,,,,,,,,,,,,,,
64,S00064,https://apmphila.org/services/health-services/,267-296-7220,267-296-7222,4301 Rising Sun Ave,,19140,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [1 of 3],NULL,58,NULL,2,,,,,,,,,,,,,,,,,,,,
65,S00065,https://apmphila.org/services/health-services/,215-259-3373,215-259-3358,2921 North 5th St,,19133,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [3 of 3],NULL,57,NULL,NULL,,,,,,,,,,,,,,,,,,,,
66,S00066,https://apmphila.org/services/health-services/,267-798-7560,,112 East Allegheny Ave,,19134,Asociación Puertorriqueños en Marcha,APM Behavioral Health Center [2 of 3],NULL,NULL,NULL,NULL,True,Data needs review,"Added from APM website: Does location offer MAT? [[systems data may want separate record for Admin office: 1900 North 9th St, 19122, phone = 267-296-7200]]",,,,,,,,,,,,,,,,,
67,S00067,https://www.casacares.net/,215-634-3259,800-273-8255,213 West Allegheny Ave,,19133,"CASA de Consejeria y Salud Integral, Inc. (CASA)",Casa de Consejeria,NULL,1019,NULL,3,,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",,,,,,,,,,,,,,,,,
68,S00068,https://www.casacares.net/ContactUs/tabid/108/Default.aspx,215-501-7629,,616 West Lehigh Ave,,19133,"CASA de Consejeria y Salud Integral, Inc. (CASA)",Casa de Consejeria,NULL,63,NULL,NULL,,,"For site hours, see: https://www.casacares.net/ContactUs/tabid/108/Default.aspx",,,,,,,,,,,,,,,,,
69,S00069,https://catchinc.com/mission/team/type/psychiatric-team/,215-735-7435,215-755-6112,2401 Penrose Ave,2nd Floor,19145,CATCH (Citizens Acting Together Can Help),River’s Bend Addiction Treatment,NULL,NULL,NULL,NULL,True,Data needs review,"[_] Contact https://catchinc.com/services about whether/which location(s) offer MAT (Elton Smith has buprenorphine waiver); replaced ""1400 Reed St, 19146"" with potentially more relevant option from CATCH website",,,,,,,,,,,,,,,,,
70,S00070,http://www.jfkbhc.org/,215-235-5520,,907 North Broad St,,19123,"Centralized Comprehensive Human Services, Inc.","John F. Kennedy Behavioral Health Center, Satellite Office",NULL,7,16,15,,,,,,,,Yes,,,,,,,,,,,,
71,S00071,http://www.jfkbhc.org/,215-568-0860,,112 North Broad St,,19102,"Centralized Comprehensive Human Services, Inc.",John F. Kennedy Behavioral Health Center,NULL,66,NULL,16,,,,,,,,,,,,,,,,,,,,
72,S00072,https://www.comhar.org/,267-861-4382,,2055 East Allegheny Ave,,19134,COMHAR,COMHAR: The Welcome Center,NULL,NULL,NULL,5,,,phone1 = COMHAR Central Registration from https://www.comhar.org/mental-health-wellness,,,,,,,,,,,,,,,,,
73,S00073,https://www.comhar.org/latino-treatment-program,215-739-2669,,2600 North American St,,19133,COMHAR,COMHAR: Latino Treatment Program,NULL,NULL,NULL,6,,,,,,,,,,,,,,,,,,,,
74,S00074,https://drexel.edu/medicine/community-engagement/patient-care/the-caring-together-program/,215-967-2130,,4700 Wissahickon Ave,"Building C, Suite 102",19144,Drexel University Medicine,The Caring Together Program,NULL,11,NULL,8,,,,,,,,,,,,,,,,,,,,
75,S00075,https://drexel.edu/medicine/community-engagement/patient-care/partnership-comprehensive-care-practice/,215-762-2530,,1427 Vine St,2nd Floor,19102,Drexel University Medicine,Partnership Comprehensive Care Practice,NULL,NULL,NULL,NULL,,,Also see https://towerhealth.org/locations/tower-health-medical-group-infectious-disease-philadelphia,,,,,,,,,,,,,,,,,
76,S00076,https://towerhealth.org/locations/drexel-partnership,215-762-6565,,1427 Vine St,6th Floor,19102,Tower Health,Drexel Partnership,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
77,S00077,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-vine-street,267-507-6581,,1427 Vine St,8th Floor,19102,Tower Health,Psychiatry - Vine Street,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
78,S00078,https://towerhealth.org/locations/chestnut-hill-hospital,215-248-8200,,8835 Germantown Ave,,19118,Tower Health,Chestnut Hill Hospital,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
79,S00079,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,215-248-8145,,8815 Germantown Ave,5th Floor,19118,Tower Health,Family Medicine Residency - Chestnut Hill,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
80,S00080,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,215-762-5145,,219 North Broad St,1st Floor,19107,Tower Health,Family Medicine - Broad Street,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
81,S00081,https://www.einstein.edu/einstein-medical-center-philadelphia,215-456-7890,,5501 Old York Rd,,19141,Einstein Healthcare Network,Einstein Medical Center,NULL,NULL,NULL,44,,,,,,,,,,,,,,,,,,,,
82,S00082,https://www.gaudenzia.org/,215-924-6322,,1300 East Tulpehocken St,,19138,Gaudenzia,New Image,NULL,42,NULL,NULL,,,,,,,,,,,,,,,,,,,,
83,S00083,https://www.gaudenzia.org/,215-849-7200,215-849-2813,39 East School House Lane,,19144,Gaudenzia,Outreach II / Recovery House,NULL,33,NULL,NULL,,,"[_] Does this address need separate records for distinct programs? | Gaudenzia website has ""School House"" for street_address (matches Google Maps) vs. ""Schoolhouse"" in SAMHSA FT Loc",,,,,,,,,,,,,,,,,
84,S00084,https://www.gaudenzia.org/,,,5401 Wayne Ave,,19144,Gaudenzia,Re-Entry House,NULL,31,NULL,NULL,,,,,,,,,,,,,,,,,,,,
85,S00085,https://www.gaudenzia.org/,215-423-6766,,3200 Henry Ave,,19129,Gaudenzia,Gaudenzia Diagnostic & Rehabilitation Center (DRC),NULL,26,NULL,10,,,,,,,,,,,,,,,,,,,,
86,S00086,https://www.gaudenzia.org/,215-228-7595,215-228-0644,1834 West Tioga St,,19140,Gaudenzia,Gaudenzia WINNER Program / Philly House,NULL,39,NULL,NULL,,,[_] Does this address need separate records for distinct programs?,,,,,,,,,,,,,,,,,
87,S00087,https://www.gaudenzia.org/,215-223-9460,,3025 North Broad St,,19132,Gaudenzia,Broad Street R.I.N.T.,NULL,67,NULL,NULL,,,"Gaudenzia website has ""3025-21"" for street_address",,,,,,,,,,,,,,,,,
88,S00088,https://www.gaudenzia.org/,215-985-1200,215-985-2143,1516 Washington Ave,,19146,Gaudenzia,Washington House / Joy of Living,NULL,62,NULL,NULL,,,"[_] Does this address need two separate records? | Gaudenzia website has  street_address ""1515-1518"" for Washington House",,,,,,,,,,,,,,,,,
89,S00089,https://www.gaudenzia.org/,215-238-2163,,1306 Spring Garden St,2nd Floor,19123,Gaudenzia,Withdrawal and Referral Management Stablization Program (WARMS),NULL,"[20, 1005]",NULL,"[9, 49]",,,[_] This address almost surely needs multiple records (different programs on different floors),,,,,,,,,,,,,,,,,
180,S00180,https://www.gaudenzia.org/,833-647-0719,,106 West Main St,,19401,Gaudenzia,Main Admin Office,,,,,True,Not a practice site,,,,,,,,,,,,,,,,,,
90,S00090,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,215-955-3792,800-533-3669,1239 Spring Garden St,,19123,Jefferson University Hospitals,My Sister’s Place (MSP),NULL,50,NULL,NULL,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,,,,,,,,,,,,,,,,,
91,S00091,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,215-735-5979,,1021 South 21st St,"1st Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Narcotic Addiction Rehabilitation Program (NARP),NULL,19,4,37,,,See also https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,,,,,,,,,,,,,,,,,
92,S00092,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,215-503-6337,,1015 Walnut St,Suite 401,19107,Jefferson University Hospitals,Thomas Jefferson University Hospital,NULL,NULL,NULL,NULL,,,"Why do multiple buprenorphine providers list this address, when site does not appear to offer MAT? https://www.jefferson.edu/university/skmc/departments/family-medicine/fellowships/Hospice-Palliative/faculty.html",,,,,,,,,,,,,,,,,
93,S00093,https://hospitals.jefferson.edu/find-a-location/locations/1233-locust-street.html,215-955-8577,215-955-3792,1233 Locust St,Suite 401,19107,Jefferson University Hospitals,Family Center of Thomas Jefferson University,NULL,24,3,36,,,See also https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,,,,,,,,,,,,,,,,,
94,S00094,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-955-8420,215-955-8856,833 Chestnut St East,Suite 210-E,19107,Jefferson University Hospitals,Jefferson Outreach Program,NULL,35,NULL,NULL,,,[_] Address offers 2+ programs: Create second record for IOP (with phone2)?,,,,,,,,,,,,,,,,,
95,S00095,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-790-9942,,1021 South 21st St,"2nd Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Jefferson Intensive Substance Abuse Treatment Program (IOP),NULL,56,NULL,NULL,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,,,,,,,,,,,,,,,,,
96,S00096,https://www.merakey.org/,215-754-0240,,5429 Germantown Ave,,19144,Merakey,Merakey [Germantown Ave],NULL,6,14,19,,,"Merakey website has ""5429-37"" for street_address",,,,,,,,,,,,,,,,,
97,S00097,https://www.merakey.org/,215-879-6116,,5000 Parkside Ave,,19131,Merakey,Merakey [Parkside Ave],NULL,3,8,18,,,,,,,,,,,,,,,,,,,,
98,S00098,https://www.merakey.org/,215-632-9040,,11082 Knights Rd,,19154,Merakey,Merakey [Knights Rd],NULL,21,NULL,21,,,,,,,,,,,,,,,,,,,,
99,S00099,https://www.merakey.org/,215-634-2520,,100 East Lehigh Ave,MAB Suite 201,19125,Merakey,Merakey at Temple Health Episcopal Hospital,NULL,NULL,NULL,20,,,,,,,,,,,,,,,,,,,,
